Est Moments,Obs Moments
10.8814,10.9003
7.03578,7.05106
10.4177,10.5415
68.655,71.2154
33.5911,33.2755
160.941,144.032
44.7728,45.9168
62.8185,56.2587
57.0559,52.6704
