pCD3z(),pSLP76(),pErk(),pS6()
14.31,13.45,10.18,11.1
10.36,7.4,5.75,94.78
23.35,9.32,3.03,18.49
7.81,9.03,3.47,9.14
15.25,32.48,11.02,16.51
10.74,22.18,17.18,24.88
7.47,16.79,7.14,28.96
9.33,9.37,-0.25,48.19
5.61,8.94,1.83,12.19
6.83,2.87,2.66,12.45
10.39,3.47,5.43,5.24
1.53,3.55,4.9,8.25
8.58,5.38,4.42,16.3
4.99,8.55,4.16,20.73
8.26,2.09,2.53,11.92
35.09,20.73,17.08,123.54
-0.45,2.89,2.06,1.99
11.73,8.78,8.34,6.01
13.29,13.14,17.98,27.94
17.91,5.4,2.78,9.93
3.2,2.71,2.37,10.44
9.58,7.16,7.38,34.55
21.15,14.23,4.82,5.54
20.32,32.76,7.91,13.92
2.73,6.55,5.99,31.13
15.91,1.52,0.95,18.14
21.37,34.02,7.1,8.19
11.59,17.73,17.23,35.53
3.18,21.5,11.06,13.61
22.91,4.94,8.94,26.29
2.6,11.42,10.74,-0.08
12.02,5.72,4.37,20.46
4.19,5.88,3.06,5.67
39.25,6.71,16.16,68
5.37,9.81,5.52,10.55
4.77,12.33,7.08,8.35
13.75,8.28,34.83,69.22
10.44,18.26,10.01,9.67
9.29,3.5,1.53,1.32
18,14.65,8.58,13.38
9.35,11.34,9.07,36.11
39.95,10.62,2.45,16.67
12.03,18.09,8.22,11.83
1.18,2.68,35.6,114.74
14.47,5.88,2.82,6.25
6.66,19.32,16.38,22.59
16.93,12.56,4.75,6.87
10.01,7.17,1.25,8.37
16.15,7.89,11.12,31.86
1.67,9.64,5.53,11.24
15.19,7.08,4.22,5.48
7.07,2.29,3.49,12.79
10.32,6.76,2.81,6.92
11.33,25.23,11.02,6.33
3.71,5.72,4.34,4.73
15.35,6.31,3,9.46
11.96,4.05,3.65,8.16
10.27,8.51,5.12,12.88
5.42,5.83,4.42,6.64
11.55,19.85,6.18,12.33
9.09,10.2,4.62,43.91
10.23,17.72,8.16,11.43
8.3,5.51,4.8,18.75
10.96,7.32,1.59,9.14
0.48,11.46,3.15,1.4
1.24,1.59,2.33,6.55
20.77,2.59,2.07,15.52
6.56,5.03,3.74,45.16
17.75,5.64,2.88,10.19
23.16,41.88,8.92,22.38
29.88,30.49,-0.44,3.13
7.07,9.22,4.98,49.07
8.75,6.24,1.82,6.58
7.52,3.68,1.05,1.15
31.94,6.31,3.95,25.36
2.23,8.17,6.56,8.64
16.75,3.7,3.34,5.29
21.97,11.7,12.63,21.11
9.24,4.21,3.22,0.14
9.25,14,6.24,9.05
14.63,9.89,4.9,4.35
3.04,14.57,13.41,24.32
4.89,1.47,4.05,3.1
11.3,15.15,24.11,35.97
11.4,12.64,8.59,14.04
8.65,10.23,3,13.71
23.39,10.76,6.16,44.63
26.23,5.31,2.6,6.55
4.77,7.04,3.09,10.53
0.73,-0.27,2.48,28.77
17.15,9.39,4.56,23.11
11.94,13.89,8.76,15.2
3.33,2.28,1.67,36.54
4.94,4.31,2.53,1.46
12.24,14.44,5.54,10.6
16.25,12.75,0.53,10.89
2.09,12.76,5.41,13.35
28.47,2.69,2.61,8.47
8.96,33.84,14.04,43.45
29.84,6.52,2.06,8.2
20.4,14.35,18.64,28.39
32.76,18.22,14.4,17.45
2.4,0.66,3.02,12.95
2.37,0.97,3.2,11.46
6.29,3.09,1.22,9.9
35.61,10.54,5.14,5.71
9.55,1.79,1.71,2.37
5,8.84,18.52,30.38
6.98,7.91,1.4,10.77
4.85,-0.2,6.53,5.1
0.97,6.09,7.34,7.18
17.56,15.29,4.66,6.21
35.56,15.34,7.41,20.66
12.6,20.66,7.44,5.09
14.51,9.72,3,16.63
21.76,11.25,4.9,11.71
3.23,23.94,8.44,26.18
16.52,10.18,2.52,6.36
32.45,38.25,15.36,57.37
1.22,4.1,2.85,4.94
25.96,10.8,4.83,9.18
3.74,13.89,8.41,27.26
5.26,7.51,5.94,10.85
13.37,3.5,3.35,6.82
12.52,28.29,10.85,31.81
16.02,15.78,2.44,15.03
10.11,9.81,8.34,21.06
16.04,0.82,19.15,34.28
11.52,21.53,10.11,7.84
4.64,5.12,5.13,7.8
22.71,11.18,3.02,15.37
7.67,35.59,22.37,33.93
25.46,4.93,6.92,19.2
20.44,14.17,7.14,9.66
7.62,5.08,11.73,21.9
19.64,13.59,6.21,4.97
8.79,10.17,5,14.64
13.17,13.23,5.39,8.7
14.41,2.52,4.98,15.91
18.2,28.31,9.82,23.05
9.64,49.59,15.03,27.48
4.87,4.28,2.18,25.77
11.13,0.13,1.09,14.77
3.08,8.09,5.17,22.86
13.56,5.23,3.72,9.48
10.49,5.34,3.51,3.09
3.5,2.06,1.16,2.7
11.6,9.99,2.51,16.39
18.16,5.07,3.93,3.26
2.54,14.96,8.8,26.71
12.25,24.14,20.53,33.43
5.59,12.07,4.23,14.8
20.74,4.87,1.45,2.09
20.5,4.78,2.71,44.3
6.34,6.42,9.82,17.02
19.69,8.99,5.3,41.04
2.91,7.22,6.16,10.44
14.72,99.45,38.18,37.34
11.27,3.38,5.46,7.64
4.78,2.75,4.03,9.78
0.91,1,1.76,4.11
6.45,10.84,5.08,13.17
3.03,3.72,1.49,13.97
9.07,5.56,0.17,5.34
11.51,14.37,3.16,9.82
9.36,17.53,9.52,8.06
16.73,11.57,16.55,29.45
26.51,11.8,7.58,35.91
23.94,1.83,2.3,16.82
2.93,0.49,-0.11,2.07
25.82,5.64,1.83,1.86
11.88,8.22,5.54,7.34
5.07,7.09,3.99,9.03
6.19,4.54,3.06,1.8
11.62,1.78,2.15,4.91
7.49,0.34,1.67,3.71
18.65,16.49,11.06,15.36
16.45,8.59,4.36,6.01
11.94,9.89,6.03,18.06
27.1,22.18,6.28,24.67
15.68,5.09,2.15,7.66
21.67,10.47,5.87,15.31
0.52,0.99,5.4,11.69
6.77,2.15,3.48,12.21
10.32,17.87,15.76,26.01
10.76,9.24,6.02,49.39
22.8,20.5,14.49,22.76
6.88,23.49,11,12.01
6.01,11.68,6.57,5.44
-0.23,5.36,1,3.18
20.91,21.27,7.99,40.08
13.77,11.6,11.61,19.37
13.56,7.96,3.82,14.68
8.71,0.4,3.92,20.94
26.78,4.75,5.34,12.79
7.72,4.47,5.25,15.07
6.82,14.35,13.73,34.63
15.44,37.78,8.38,12.15
10.2,17.3,10.07,12.99
10.34,3.95,1.01,9.08
1.11,3.84,1.43,6.2
7.9,29.47,13.87,20.15
6.89,10.24,3,8.78
7.63,27.45,11.62,12.43
49.72,5.7,10.02,19.77
13.42,20.48,3.34,29.34
3.46,7.91,2.97,5.26
18.95,9.89,11.62,26.71
19.94,5.09,5.67,11.36
5.83,6.94,7.14,30.57
4.11,32.03,8,13.01
27.74,5.69,5.68,22.72
3.76,34.25,11.82,15.93
7.85,0.38,6.99,11.15
0.43,18.21,24.56,27.23
4.35,24.42,7.31,6.6
9.77,9.25,0.15,13.37
19.55,13.63,4.01,9.2
15.27,19.69,7.12,5.52
6.16,2.31,0.52,12.76
3.79,13.86,4.04,9.16
3.84,12.01,5.44,9.21
3.61,7.99,8.52,15.79
31.1,10.95,4.92,6.7
17,13.24,7.45,24.51
14.96,18.85,7.05,10.91
9.25,23.07,15.03,37.7
6.32,6.44,3.89,40.08
12.82,14.54,8.89,28.15
6.08,5.54,2.58,11.79
22.48,19.43,10.57,15.26
1.31,3.73,3.11,2.18
9.71,11.71,10.64,21.84
21.07,15.91,3.55,2.49
10.12,13.1,9.55,20.28
21.02,37.84,9.07,14.55
25.51,9.11,6.14,10.23
3.39,2.47,1.39,8.62
9.54,17.72,13.29,12.62
8.9,13.99,10.67,900.11
2.93,10.28,10.1,72.6
27.59,9.08,3.37,36.39
11.84,3.14,0.9,2.87
2.69,43.5,29.45,56.78
9.04,33.3,13.3,13.58
9.3,4.34,3.36,7.08
3.75,3.41,2.65,7
9.8,6.07,1.43,16.96
12.56,19.95,10.7,17.97
6.31,5.39,1.7,11.59
10.06,7.93,8.01,31.53
21.74,14.6,6.98,16.84
3.9,3.15,3.48,9.86
30.08,31.24,16.34,15.43
7.86,17.5,8.49,12.3
10.63,3.3,4.31,11.59
3.35,3.18,2.34,10.26
5.5,12.2,4.88,7.97
17.61,0.32,0.4,5.43
8.44,2.04,0.05,2.41
22.67,17.21,9.47,14.49
3.8,1.61,1,5.31
49.39,19.93,6.43,3.2
9.74,11.86,8.19,24.23
10.05,3.11,3.53,9.91
7.76,11.46,1.95,1.67
18.54,2.68,3.13,6.54
4.67,2.4,3.97,2.89
4.93,5.17,8.26,16.14
2.08,23.89,18.46,35.62
38.34,10.23,4.69,8.36
3.11,12.74,4.76,13.36
2.56,4.71,0.43,9.42
6.51,4.06,3.9,5.28
3.75,9.19,3.57,49.16
12.83,5.19,10.68,10.55
48.33,9.35,6.87,11.56
14.26,11.72,8.67,22.88
2,13.77,7.12,14.5
11.52,8.35,5.19,43.26
24.11,27.26,21.25,18.66
6.85,13.99,11.22,15.47
10.11,10.42,8.28,28.58
9.18,41.89,14.64,17.17
16.02,10.89,4.9,5.62
8.94,2.76,4.67,16.84
17.08,17.9,15.33,29.88
31.58,18.48,9.4,26.14
26.34,9.41,5.45,12.33
9.16,6.14,3.13,15.83
9.89,4.94,2.96,18.62
7.95,10.12,9.02,21.76
0.06,2.35,3.17,7.07
3.85,21.88,14.02,27.96
1.57,20,9.59,7.9
8.55,15.65,3.41,13.3
7.23,3.98,2.16,9.59
9.06,5.07,3.84,1.85
13.03,20.96,6.89,21.55
3.43,14.67,3.32,8.98
13.65,7.02,2.06,22.18
2.81,15.59,5.29,1.87
18.69,5.2,1.22,2.76
5.22,15.58,4.5,2.26
2.42,5.63,0.78,1.71
4.59,1.38,6.35,16.78
2.05,39.51,19.47,17
10.91,30.23,10.8,25.13
5.45,0.89,-0.07,1.14
5.51,24.1,21.97,36.67
19.68,15.38,5.18,9.94
5.08,28.51,8.16,21.85
27.22,23.67,10.02,110.41
8.82,4.76,2.21,17.17
9.41,1.82,1.7,3.71
11.37,12.66,4.1,22.56
13.74,2.19,11.1,18.11
5.03,4.55,1.95,14.02
20.19,14.43,5.22,10.82
2.2,10.67,1.51,8.02
8.7,6.7,3.77,6.46
39.17,38.67,14.02,40.8
2.66,5.88,1.75,3.59
11,11.13,3.11,9.11
19.36,32.09,20.15,34.65
52.65,5.99,4.25,9.89
21.56,10.46,8.96,10.93
9.22,22.94,4.1,18.96
3.74,16.89,7.2,9.12
3.88,39.59,42.25,44.7
9.28,5.53,1.73,16.87
9.14,14.76,13.1,11.07
7.89,1.58,12.3,160.16
4.67,26.54,7.06,10.43
9.85,48.22,19.55,45.03
16,3.55,0.25,8.95
4.33,1.33,1.29,16.58
9.82,22.01,6.29,21.28
6.8,11.45,4.58,8.57
6.93,2.08,1.69,4.85
8.76,6.13,4.26,15.11
15.55,5.83,1.35,14.36
6.21,11.31,6.19,16.22
8.95,7.93,8.62,3.71
17.27,20.88,18.24,36.34
0,1.64,0.52,2.39
8.4,4.18,1.29,5.19
15.72,5.23,8.23,15.47
11.54,3.2,4.6,20.52
6.38,10.08,2.79,11.36
10.15,7.79,8.37,7.38
8.18,4.08,4.51,35.17
12.54,24.89,16.85,32.76
10.79,11.29,8.78,11.25
15.15,7.38,5.97,11.29
8.56,2.53,10.15,20.51
6.23,4.55,11.89,21.42
4.63,16.71,7.06,15.09
5.84,7.24,4.01,4.46
4.65,19.18,8.29,14.68
5.64,13.04,-0.77,7.15
2.75,9.37,5.15,16.59
9.81,3.83,1.33,15.24
4.08,0.96,2.52,7.46
24.36,4.01,-0.01,15.43
2.12,8.6,4.48,6.94
8.3,1.43,6.81,8.94
31.38,7.84,7.36,21.01
14.08,6.83,2.27,7.37
7.19,3.78,4.08,9.29
6.57,23.94,2.36,-0.5
30.05,20.09,6.83,10.34
9.02,7.54,5.9,10.98
4.49,14.34,13.93,14.87
3.34,2.83,5.54,12.05
7.81,25.71,12.05,179.18
12.04,1.07,5.64,4.2
19.55,2.45,8.19,22.92
13.25,10.41,6.82,11.01
8.43,15.79,7.09,4.26
13.55,16.59,6.55,18.87
9.82,10.14,25.6,50.29
5.01,11.27,16.94,27.48
9.1,6.64,0.04,1.98
10.22,17.65,11.88,23.12
24.62,0.81,1.98,6.42
10.22,9.94,3.75,26.27
7.26,7.16,6.38,16.53
12.4,1.07,8.19,11.05
8.85,6.64,7.09,33.45
7.1,5.72,3.7,5.43
2.78,5.67,1.23,7
6.74,11.51,7.67,21.55
13.85,29.12,10.52,25.57
17.11,7.96,12.83,26.56
0.57,11.17,3.74,4.5
1.66,8.6,6.2,8.56
11.12,22.81,7.4,15.11
84.99,15.5,7.75,5.47
2.62,14.04,6.49,14.35
3.11,11.6,2.39,1.54
2.87,1.88,1.05,3.92
9.72,8.28,9.04,9.51
10.31,26.3,18.78,18.62
5.77,17.06,6.18,11.11
14.62,13.84,4.66,13.85
3.04,3.98,2.59,3.13
12.87,13.79,6.97,21.35
7.12,9.9,6.77,6.28
