k1,k2,k3,k4,k5,cost
0.00796622,0.0433051,0.137414,0.00201068,0.0504978,0.0965347
0.0124661,0.0436622,0.137333,0.00201394,0.0505812,0.0965573
0.00302157,0.0424381,0.136889,0.000972741,0.050309,0.0964698
0.0642838,0.0465045,0.139164,0.00362053,0.0515418,0.0968729
0.004686,0.0421769,0.13702,0.00129331,0.0502211,0.0964926
0.0120998,0.0430335,0.13722,0.00155046,0.0505695,0.0965337
0.00336878,0.0427483,0.137509,0.00183146,0.0504031,0.0965063
0.0363446,0.04422,0.138462,0.00317967,0.0513089,0.0967159
0.0107112,0.0436963,0.137693,0.00169603,0.050453,0.0965382
0.024191,0.0440309,0.137896,0.0022508,0.050933,0.0966197
0.0436936,0.0451825,0.139146,0.00324667,0.0510628,0.0967568
0.00469869,0.0429663,0.137178,0.00115001,0.050305,0.0964854
0.0148427,0.0430336,0.13768,0.00237253,0.0504765,0.0965794
0.00893497,0.0430942,0.137643,0.00173252,0.050118,0.0965295
0.00693932,0.0433836,0.137601,0.000950192,0.0501654,0.096495
0.0918746,0.047264,0.140244,0.00393919,0.0519614,0.0970318
0.018713,0.0438048,0.13888,0.0025551,0.050268,0.0966195
0.0215814,0.0437976,0.138027,0.00246744,0.0504597,0.0966148
0.0486406,0.0460178,0.138947,0.00319593,0.0513515,0.096785
0.0402167,0.0455194,0.138164,0.00303471,0.0512205,0.0967363
0.0429438,0.0450297,0.139094,0.00280608,0.050783,0.0967394
0.0254896,0.0438853,0.138005,0.00258422,0.050702,0.0966365
0.0398546,0.0444283,0.137364,0.00258456,0.0512368,0.0967108
0.0500034,0.0459999,0.138723,0.00388538,0.0515209,0.0968167
0.063448,0.0459441,0.138194,0.00384194,0.0516383,0.0968771
0.0115988,0.0437606,0.13707,0.00127415,0.0506327,0.096528
0.0607603,0.0460757,0.139723,0.00356666,0.0518368,0.0968629
0.0197282,0.043883,0.137204,0.0025645,0.050719,0.0966149
0.00742974,0.0430858,0.137823,0.00176398,0.0501036,0.0965256
0.178496,0.0500102,0.143145,0.00770019,0.0536569,0.0976941
