pCD3z(),pSLP76(),pErk(),pS6()
12.31,17.45,14.18,20.1
11.36,8.4,4.75,79.78
23.35,9.32,3.03,18.49
11.81,6.03,4.47,16.14
12.25,35.48,16.02,16.51
14.74,27.18,9.18,22.88
9.47,17.79,6.14,28.96
6.33,8.37,1.75,41.19
5.61,8.94,4.83,7.19
8.83,0.87,3.66,9.45
7.39,5.47,10.43,12.24
2.53,1.55,6.9,8.25
8.58,10.38,7.42,12.3
5.99,6.55,1.16,16.73
10.26,3.09,5.53,9.92
39.09,20.73,21.08,146.54
0.55,2.89,1.06,2.99
12.73,14.78,2.34,1.01
14.29,15.14,13.98,25.94
21.91,7.4,3.78,11.93
4.2,3.71,0.37,3.44
6.58,5.16,6.38,32.55
22.15,15.23,4.82,5.54
19.32,33.76,12.91,10.92
4.73,5.55,7.99,34.13
17.91,0.52,1.95,26.14
17.37,35.02,10.1,7.19
9.59,19.73,16.23,31.53
1.18,20.5,10.06,18.61
24.91,4.94,4.94,27.29
0.6,6.42,8.74,7.92
13.02,2.72,6.37,24.46
6.19,3.88,3.06,9.67
34.25,7.71,19.16,65
5.37,9.81,4.52,7.55
4.77,7.33,4.08,11.35
14.75,6.28,33.83,54.22
11.44,15.26,8.01,6.67
5.29,3.5,0.53,0.32
19,18.65,9.58,11.38
11.35,11.34,7.07,38.11
37.95,6.62,3.45,23.67
12.03,17.09,5.22,1.83
4.18,2.68,32.6,105.74
16.47,5.88,3.82,8.25
9.66,23.32,16.38,20.59
17.93,12.56,3.75,7.87
4.01,9.17,4.25,15.37
15.15,12.89,17.12,44.86
0.67,13.64,10.53,15.24
16.19,9.08,5.22,9.48
8.07,0.29,3.49,11.79
7.32,4.76,1.81,5.92
10.33,21.23,11.02,10.33
1.71,4.72,1.34,2.73
14.35,4.31,1,7.46
8.96,3.05,4.65,11.16
10.27,7.51,6.12,10.88
8.42,4.83,5.42,10.64
11.55,18.85,11.18,6.33
11.09,8.2,0.62,39.91
8.23,22.72,8.16,4.43
6.3,6.51,4.8,9.75
7.96,5.32,0.59,10.14
3.48,10.46,3.15,2.4
-0.76,3.59,1.33,5.55
18.77,3.59,4.07,14.52
10.56,8.03,3.74,41.16
14.75,4.64,0.88,7.19
27.16,41.88,12.92,17.38
20.88,21.49,7.56,6.13
9.07,9.22,1.98,58.07
7.75,3.24,1.82,7.58
7.52,4.68,4.05,3.15
34.94,11.31,2.95,17.36
3.23,12.17,5.56,12.64
12.75,6.7,3.34,4.29
15.97,13.7,7.63,19.11
11.24,3.21,2.22,2.14
13.25,8,3.24,2.05
11.63,5.89,5.9,5.35
1.04,10.57,8.41,12.32
3.89,3.47,4.05,5.1
11.3,17.15,28.11,32.97
7.4,12.64,6.59,6.04
5.65,13.23,4,10.71
17.39,6.76,5.16,49.63
23.23,4.31,4.6,7.55
6.77,9.04,5.09,16.53
0.73,-0.27,1.48,27.77
16.15,9.39,3.56,22.11
11.94,16.89,7.76,10.2
5.33,2.28,1.67,40.54
4.94,5.31,2.53,3.46
10.24,11.44,3.54,12.6
16.25,13.75,2.53,16.89
1.09,10.76,4.41,10.35
32.47,6.69,3.61,5.47
9.96,29.84,10.04,32.45
29.84,9.52,4.06,6.2
26.4,22.35,10.64,30.39
32.76,12.22,6.4,11.45
0.4,1.66,2.02,10.95
1.37,-0.03,2.2,11.46
3.29,6.09,0.22,13.9
36.61,10.54,3.14,10.71
7.55,1.79,0.71,2.37
6,11.84,27.52,47.38
6.98,8.91,-0.6,12.77
5.85,2.8,5.53,10.1
0.97,11.09,5.34,11.18
15.56,17.29,6.66,11.21
35.56,21.34,12.41,24.66
7.6,23.66,11.44,17.09
13.51,9.72,4,13.63
18.76,13.25,7.9,12.71
0.23,27.94,7.44,16.18
13.52,12.18,5.52,5.36
32.45,44.25,17.36,59.37
0.22,6.1,-0.15,2.94
29.96,14.8,5.83,9.18
3.74,17.89,15.41,35.26
7.26,6.51,3.94,11.85
9.37,4.5,5.35,7.82
10.52,31.29,11.85,33.81
14.02,15.78,9.44,10.03
9.11,13.81,7.34,15.06
22.04,1.82,21.15,26.28
8.52,17.53,12.11,14.84
6.64,4.12,7.13,10.8
21.71,6.18,4.02,18.37
8.67,34.59,23.37,34.93
28.46,8.93,2.92,17.2
23.44,15.17,6.14,6.66
5.62,8.08,12.73,24.9
19.64,12.59,6.21,4.97
7.79,7.17,0,8.64
21.17,15.23,9.39,10.7
15.41,1.52,3.98,17.91
20.2,33.31,12.82,15.05
5.64,56.59,12.03,19.48
5.87,4.28,1.18,21.77
11.13,0.13,1.09,15.77
2.08,9.09,5.17,18.86
13.56,6.23,2.72,12.48
8.49,5.34,3.51,5.09
2.5,3.06,2.16,3.7
9.6,4.99,2.51,14.39
19.16,6.07,0.93,-0.74
1.54,17.96,7.8,30.71
11.25,32.14,22.53,18.43
4.59,10.07,3.23,12.8
22.74,3.87,2.45,1.09
27.5,4.78,2.71,37.3
3.34,7.42,5.82,9.02
21.69,6.99,0.3,30.04
2.91,7.22,2.16,15.44
17.72,101.45,31.18,33.34
13.27,7.38,3.46,7.64
4.78,3.75,5.03,6.78
0.91,1,2.76,3.11
7.45,12.84,6.08,14.17
5.03,4.72,3.49,16.97
9.07,3.56,2.17,4.34
14.51,19.37,6.16,7.82
10.36,11.53,7.52,14.06
15.73,9.57,12.55,8.45
28.51,10.8,4.58,33.91
22.94,1.83,1.3,14.82
5.93,1.49,1.89,4.07
27.82,9.64,3.83,5.86
11.88,8.22,5.54,10.34
6.07,7.09,7.99,18.03
9.19,4.54,2.06,-0.2
12.62,1.78,0.15,2.91
7.49,2.34,1.67,2.71
19.65,14.49,11.06,31.36
14.45,8.59,4.36,8.01
11.94,13.89,1.03,11.06
34.1,27.18,15.28,29.67
14.68,4.09,3.15,12.66
28.67,11.47,1.87,15.31
1.52,0.99,6.4,7.69
9.77,3.15,2.48,14.21
11.32,18.87,9.76,24.01
15.76,11.24,5.02,46.39
19.8,20.5,18.49,28.76
7.88,20.49,11,17.01
3.01,11.68,7.57,6.44
2.77,4.36,4,4.18
17.91,19.27,6.99,35.08
14.77,11.6,1.61,21.37
11.56,10.96,2.82,9.68
13.71,1.4,2.92,18.94
26.78,3.75,5.34,2.79
10.72,5.47,6.25,7.07
2.82,13.35,13.73,31.63
14.44,35.78,11.38,12.15
9.2,19.3,10.07,15.99
9.34,4.95,1.01,10.08
1.11,5.84,2.43,6.2
5.9,21.47,8.87,11.15
7.89,8.24,2,9.78
6.63,28.45,12.62,12.43
61.72,5.7,9.02,25.77
9.42,28.48,10.34,36.34
5.46,6.91,8.97,7.26
15.95,9.89,13.62,20.71
19.94,9.09,9.67,7.36
7.83,5.94,6.14,33.57
4.11,32.03,11,12.01
26.74,10.69,5.68,21.72
6.76,31.25,12.82,15.93
10.85,0.38,6.99,18.15
