Estimated,Observed
11.3921,11.4785
12.0233,11.5206
7.01793,7.69268
18.7185,21.0976
86.2597,100.698
109.808,104.802
37.671,71.1406
1659.34,1117.06
23.7515,17.5912
7.4446,1.01937
7.60103,10.461
33.3439,3.28421
35.5874,17.1904
76.4877,46.0558
