k1,k2,k3,k4,k5,k6,cost
0.118618,0.721568,0.952794,0.168559,0.161612,0.182807,7.46504
0.0917034,0.344817,0.955898,0.167202,0.144403,0.186667,8.25876
0.118931,0.724938,0.952921,0.16795,0.157205,0.183024,7.45279
0.111899,0.627552,0.953293,0.168122,0.157176,0.183385,7.61811
0.129429,0.871292,0.952071,0.168339,0.162999,0.181941,7.25218
0.128326,0.854967,0.952553,0.168101,0.160113,0.18276,7.27668
0.12328,0.785983,0.952518,0.167818,0.156796,0.182509,7.36557
0.106638,0.553955,0.953958,0.167877,0.153843,0.184274,7.75354
0.122352,0.773056,0.952464,0.168286,0.163006,0.182365,7.38706
0.11757,0.706725,0.952706,0.168452,0.161645,0.182634,7.48929
0.117133,0.699795,0.953209,0.168013,0.157263,0.183424,7.49253
0.100307,0.465298,0.95464,0.168318,0.153863,0.18509,7.95001
0.129307,0.869987,0.951896,0.168806,0.166981,0.181655,7.26017
0.119011,0.726335,0.952811,0.168858,0.164415,0.182797,7.46055
0.115724,0.680217,0.953173,0.167964,0.157003,0.183343,7.52374
0.0811609,0.197369,0.957367,0.167585,0.140471,0.188414,8.76691
0.108455,0.578899,0.953929,0.167803,0.153178,0.184273,7.70292
0.103202,0.505341,0.954452,0.168159,0.152942,0.184914,7.85597
0.120239,0.743274,0.95281,0.168213,0.159599,0.182889,7.42606
0.115191,0.673183,0.953199,0.168008,0.1557,0.183345,7.53667
0.105369,0.535762,0.954053,0.168209,0.155141,0.184391,7.79366
0.0953288,0.395212,0.955563,0.167115,0.142969,0.186351,8.11594
0.105862,0.543058,0.953926,0.167753,0.153869,0.184193,7.77721
0.10288,0.500579,0.95416,0.16884,0.159028,0.184344,7.88521
0.104414,0.522884,0.954161,0.167895,0.152985,0.184501,7.818
0.111222,0.616972,0.953829,0.167881,0.154402,0.184227,7.63313
