pred,obs
2.51414,1.90057
1512.59,1512.02
206.895,207.509
165.262,163.731
19.0504,17.5658
192.291,193.776
24.4442,21.8194
280137,280877
6308.3,6372.17
21010.6,21291
1678.69,1670.04
4125.83,4199.87
-885.005,-701.369
141.636,111.016
273.17,221.271
-21.0414,-15.5574
14.3899,9.14067
-12735.5,-12972.4
-24495.9,-24859.9
3259.31,3176.25
564.993,651.219
9953.47,10058.3
-1108.24,-1080.74
1444.67,1416.94
-2594.07,-2496.95
-2187.53,-2328.93
513.256,480.561
