pred, obs
168.124,168.067
19.8975,18.7421
41.2857,41.3419
1804.84,1805.82
0.333108,0.208979
211.009,211.133
7100.18,7101.91
13089.7,13166.9
324.178,326.953
261587,261660
2.44367,2.33147
6787.75,6799.15
-2763.36,-2717.73
-404.172,-406.424
7298.94,7260.77
-9.14215,-7.44056
-1019.74,-1024.31
854.654,850.219
-9562.05,-9610.94
45.8281,40.6801
1777,1747.52
-1130.01,-1132.99
4.02007,2.87968
1354.64,1358.65
-118.126,-91.744
-5853.31,-5853.69
20.4215,14.7761
