pCD3z(),pSLP76(),pErk(),pS6()
18.66,5.02,12.57,0.65
9.28,26.38,3.2,8.28
15.75,11.3,22.27,26.31
34.89,1.94,0.86,10.83
3.27,2.53,17.38,13.88
14.37,7.97,41.59,42.46
0.06,5.51,3.67,3.6
7.53,9.68,1.16,24.76
12.44,7.74,3.1,30.84
7.24,25.84,4.88,32.4
1.77,8.13,5.62,4.27
2.24,16.91,10.23,22.68
35.74,2.96,1.11,3.98
14.28,12.31,2.48,18.59
3.83,7.26,1.5,6.26
5.86,1.16,17.87,14.46
2.54,2.72,4.11,6.61
18.16,8.6,18.12,12.87
17.84,3.94,4.15,7.38
5.39,8.76,11.41,2.85
31.65,21.31,0.41,9.52
4.28,7.61,16.5,26.09
1.82,9.04,3.18,9.7
12.86,17.23,27.15,56.66
32.23,19.83,7.41,33.66
1.93,13.41,3.1,38.91
9.05,13.59,0.65,25.36
11.87,5.25,3.56,7.26
7.23,9.66,1.49,15.37
7.6,4.91,31.62,3.31
30.8,0.61,4.14,4.32
0.47,22.97,4.59,11.61
4.52,2.05,1.05,109.96
33.12,14.27,3.23,21.85
1.73,5.9,2.88,29.59
18.82,4.57,3.23,15.01
7.81,0.48,1.58,5.6
12.31,3.82,2.14,21.8
1.45,11.92,2.25,8.06
22.99,5,1.16,48.89
26.78,9.97,12.27,8.42
0.44,1.13,1.85,4.67
6.52,7.22,1.24,15.1
9.07,3.46,19.07,5.99
9.88,30.71,10.07,22.39
2.04,1.47,28.92,8.77
13.37,4.64,11.09,13.8
2.61,11.22,16.79,25.6
4.58,10.17,14.91,3.59
17.47,23.55,1.56,8.45
8.51,1.1,4.53,19.31
20.93,5.67,9.37,8.34
0.94,4.38,2.48,4.73
14.88,3.73,1.54,12.87
16.2,21.47,2.05,7.93
2.63,1.17,4.48,0.13
35.99,6.22,3.62,31.84
1.29,21.26,34.67,248.25
3.32,13.97,12.32,21.83
1.85,1.48,2.5,3.07
0.88,6.42,0.49,3
11.21,5.46,3.6,17.85
3.72,11.69,1.77,10.4
22.61,11.62,1.16,5.97
22.42,22.19,5.28,10.33
7.56,11.14,4.99,5.48
37.99,61.22,5.64,16.69
26.27,4.7,2.26,56.6
8.54,28.74,40.91,27.21
0.63,3.66,2.16,43.43
15.52,1.58,7.34,4.93
7.08,15.54,14.89,7.28
6.78,3.13,4.97,12.76
17.41,17.12,0.19,44.86
14.51,5.77,0.39,3.82
3.09,5.15,23.85,8.52
13.72,6.05,1.29,2.82
14.87,12.96,5.86,5.92
19,19.55,29.11,107.36
7.43,17.79,8.23,221.79
40.14,21.63,0.48,55.25
4.01,12.19,2.73,18.47
8.37,10.64,1.81,206.99
7.15,1.74,4.45,91.02
8.26,0.54,18.41,1.31
7.47,2,2.29,20.3
16.19,13.03,11.41,21.79
3.96,11.05,30.48,1.63
2.37,13.28,0.56,25.15
30.29,4.32,25.29,11.11
3.78,1.61,10.91,7.65
5.93,13.53,25.07,6.17
16.71,17.76,0.96,12.05
0.19,3.3,3.9,22.22
6.85,14.14,1.45,25.26
3.62,14.1,0.08,3.12
3.91,3.66,17.2,7.48
11.01,4.85,40.34,32.18
28.04,9.89,1.95,3.38
11.55,3.81,10.67,11.37
1.02,1.56,9.37,2.77
14.94,24.68,5.79,2.74
21.24,18.86,19.68,19.71
2.64,3.3,1.19,29.18
35.69,6.06,5.9,21.4
1.29,6.56,2.44,43.06
0.46,20.11,18.22,23.64
25.59,45.28,21.52,7
1.5,0.4,0.29,15.12
17.11,26.01,1.86,12.11
24.57,6.45,3.14,30.16
4.44,3.84,0.11,27.69
9.66,9.68,5.51,4.27
17.81,6.35,6.33,13.35
20.44,26.67,9.9,9.45
12.06,9.94,1.14,5.42
12.97,2.65,0.62,14.21
3.76,56.3,1.53,11.84
21.4,4.97,0.05,24.88
15.81,7.85,11.47,11.27
18.38,14.36,3.63,25.91
8.16,0.77,16.34,7.7
32.54,10.17,4.62,45.4
5.19,3.08,0.22,11.38
6.31,6.38,2.97,12.38
16.19,14.11,8.21,4.65
4.48,32.85,16.02,11.41
14.57,3.84,1.12,4.19
2.7,5.89,2.07,5.62
13.96,14.68,10.97,21.83
5.07,12.63,3.73,0.98
8.99,2.39,1.76,20.88
24.47,21.7,10.03,15.65
9.42,19.03,1.07,6.55
6.77,6.61,18.74,7.4
6.08,3.87,6.09,12.4
8.63,5.09,0.77,92.18
0.04,1.23,0.97,8.35
6.93,7.73,1.93,44.57
23.8,1.91,7.05,0.67
19.87,13.85,26.95,3.73
6.99,10.53,7,11.1
8.8,4.14,5.14,21.81
10.09,13.7,0.51,5.68
3.94,16.87,6.6,2.14
28.2,17.29,14.32,5.7
18.5,24.75,4.32,17.13
15.42,3.63,8.51,1.91
30.58,36.52,23.43,84.86
2.16,4.28,2.79,14.14
0.68,15.58,6.01,16.06
16.66,5.13,3.27,3.36
40.43,2.71,30.52,21.32
29.34,4.61,0.57,16.04
17.23,12.78,11.88,3.23
3.99,6.78,5.77,1.33
2.24,16.91,1.32,10.32
14.11,6.76,11.28,6.01
28.61,14.27,7.6,9.78
5.26,10.13,4.23,9.09
4.01,0.89,2.68,12.22
11.68,43.2,3.13,64.3
6.97,0.97,0,3.31
14.24,26.25,9.03,36.87
38.2,21.59,14.98,129.06
0.13,7.02,2.69,5.64
6.49,3.47,8.68,23.57
3.84,7,2.06,6.7
7.64,5.55,2.26,4.03
10.5,4.21,0.91,5.72
27.45,11.79,3.03,22.98
2.91,5.14,3.71,9.54
1.79,0.89,1.07,107.83
17.41,1.49,5.53,6.16
5,35.38,11.86,6.5
3.99,10.01,15.2,3.33
8.18,1.15,4.88,24.78
16.44,3.43,5.87,52.68
7.73,21.64,5.49,4.62
0.96,17.37,3.82,10.46
34.02,6.72,0.69,3.34
44.43,6.2,0.27,4.14
14.51,6.64,5.3,4.21
2.64,0.2,4.91,32.43
11.81,18.68,12.87,6.53
4.93,4.85,11.34,18
6.46,5.07,4.9,1.12
41.27,4.94,1.51,0.87
15.4,8.07,4.69,50.11
13.7,30.24,0.71,14.7
7.02,15.67,6.89,0.83
8.27,26.18,5.71,5.26
4.31,3.09,1.62,9.26
36.88,7.5,0.56,2.56
1.1,2.51,4.48,21.57
12.38,9,19.28,6.63
5.87,5.21,0.44,3.86
9.76,11.71,23.94,77.02
0.25,0.42,7.05,12.89
2.79,13.06,10.8,5.31
2.02,0.46,1.78,25.27
40.46,6.53,4.01,10.25
28.86,1.22,5.16,0.86
4.57,24.47,16.67,5.85
12.12,19.74,2.77,13.03
46.51,10.51,1.78,6.17
3.48,5.9,21,10.44
5.99,20.02,2.98,11.98
2.73,3.08,4.54,0.06
69.23,44.56,9.65,125.54
13.42,11.4,11.43,5.83
10.36,16.51,0.33,76.71
1.7,11.15,1.73,3.17
9.54,5.3,11.32,10.51
16.11,9.37,1.24,30.98
2.22,10.12,42.44,3.52
11.4,18.17,7.59,28.68
12.41,45.38,4.8,12.28
2.73,5.33,7.52,0.95
3.79,11.29,3.35,9.31
31.3,2.94,20.67,4.61
6.62,6.28,10.71,5.71
16.98,16.44,2.45,3.39
12.64,4.07,0.4,9.64
7.68,14.44,2.7,3.04
0.33,8.79,13.13,0.6
3.34,13.08,13.33,10.07
38.11,9.38,8.45,12.77
3.39,2.74,1.68,48.57
22.6,2.76,8.52,6.83
4.98,11.02,1.25,40.3
9.52,5.9,3.24,82.95
11.09,25.95,10.47,7.55
10.33,35.25,6.63,16.86
35.32,20.08,1.68,3.44
10.33,7.42,6.58,2.25
17.31,0.93,8.31,2.2
0.93,12.52,28.59,95.85
6.56,5.34,9.26,6.81
16.53,14.7,12.84,8.51
15.85,1.67,6.45,9.09
15.99,2.26,4.27,18.5
0.53,3.5,0.89,11.32
0.82,0.19,3.98,15.92
17.31,22.77,1.71,0.49
52.24,2.62,6.44,10.7
6.76,5.17,3.53,46.41
4.85,10.83,8.48,31.05
33.09,19.96,8,23.93
24.81,24.22,0.66,22.04
5.75,13.2,1.72,1.1
7.46,28.49,13.51,7.82
5.01,3.08,16.91,37.9
38.15,5.61,35.64,41.01
6.34,11.35,2.75,7.51
2.42,20.94,3.61,130.56
12,1.44,1.35,20.67
0.74,10.88,1.18,2.7
7.77,23.31,0.64,30.36
2.14,5.64,2.04,9.13
14.98,0.88,6.1,5.57
27.29,30.79,5.27,3.72
10.35,28.28,23.54,51.2
12.23,9.14,0.94,31.41
14.13,8.21,3.54,43.91
5.22,0.17,1.9,20.13
14.67,14.8,1.42,14.48
16.41,11.98,7.39,12.95
2.22,20.06,1.95,23.63
9.58,0.08,1.74,5.01
12.53,7.93,0.06,2.63
8.64,3.74,3.51,17.6
11.6,0.99,6.12,16.43
2.03,2.22,19.97,1.3
1.65,17.47,0.22,8.41
17.63,4.91,17.03,35.69
0.69,10.53,4.66,30.51
29.8,10.26,13.73,2.66
15.23,10.8,41.96,44.92
13.57,4.34,3.63,8.5
7.7,3.8,1.44,0.25
4.32,12.18,26.43,1.98
3.58,4.08,17.56,121.64
7.59,13.74,1.31,13.17
17.52,21,18.04,2.93
13.65,11.16,9.44,14.76
4.57,4.68,14.71,2.71
12.75,17.52,8.34,86.35
