k1,k2,k3,k4,k5,cost
0.884442,0.0239913,0.191592,0.739795,0.175884,0.0653457
0.158217,0.0187697,0.168452,0.52171,0.139839,0.0763226
0.646581,0.0336035,0.194374,0.67049,0.169283,0.0694122
