Estimated,Observed
11.324,11.4785
11.6797,11.5206
7.04713,7.69268
19.2317,21.0976
77.8117,100.698
102.596,104.802
36.4153,71.1406
1454.06,1117.06
22.2475,17.5912
7.28798,1.01937
8.09854,10.461
33.9677,3.28421
35.9476,17.1904
67.4939,46.0558
