pCD3z(),pSLP76(),pErk(),pS6()
9.36,7.4,5.75,102.78
21.35,8.32,8.03,23.49
7.81,5.03,5.47,16.14
12.25,22.48,15.02,12.51
16.74,12.18,11.18,26.88
6.47,9.79,5.14,30.96
4.33,6.37,4.75,46.19
6.61,3.94,7.83,12.19
6.83,3.87,4.66,8.45
2.39,3.47,5.43,8.24
2.53,0.55,2.9,10.25
6.58,8.38,7.42,16.3
4.99,2.55,3.16,22.73
7.26,8.09,5.53,12.92
30.09,17.73,11.08,166.54
0.55,-0.11,1.06,3.99
8.73,3.78,5.34,10.01
10.29,9.14,9.98,38.94
14.91,7.4,7.78,14.93
1.2,4.71,1.37,8.44
9.58,5.16,5.38,32.55
15.15,15.23,9.82,9.54
21.32,17.76,9.91,21.92
2.73,3.55,9.99,30.13
10.91,4.52,4.95,23.14
17.37,22.02,19.1,9.19
8.59,9.73,15.23,24.53
3.18,9.5,7.06,17.61
20.91,5.94,3.94,26.29
3.6,5.42,5.74,7.92
10.02,1.72,5.37,23.46
1.19,2.88,5.06,8.67
24.25,17.71,12.16,75
3.37,5.81,6.52,7.55
2.77,3.33,6.08,13.35
13.75,3.28,18.83,55.22
9.44,11.26,13.01,5.67
3.29,4.5,2.53,3.32
13,12.65,9.58,11.38
6.35,8.34,5.07,40.11
27.95,15.62,8.45,26.67
11.03,8.09,14.22,5.83
1.18,2.68,20.6,112.74
12.47,4.88,5.82,5.25
7.66,13.32,15.38,21.59
14.93,11.56,5.75,9.87
5.01,2.17,7.25,12.37
15.15,7.89,7.12,38.86
1.67,9.64,7.53,13.24
15.19,7.08,7.22,6.48
9.07,3.29,1.49,16.79
6.32,7.76,4.81,8.92
8.33,14.23,13.02,13.33
1.71,6.72,-0.66,3.73
15.35,6.31,3,9.46
8.96,4.05,3.65,12.16
11.27,3.51,6.12,11.88
10.42,2.83,5.42,7.64
10.55,9.85,9.18,11.33
5.09,4.2,5.62,56.91
4.23,14.72,14.16,4.43
7.3,3.51,8.8,9.75
8.96,8.32,1.59,11.14
1.48,5.46,4.15,5.4
0.24,0.59,2.33,8.55
17.77,7.59,7.07,16.52
7.56,6.03,4.74,55.16
7.75,5.64,5.88,9.19
15.16,31.88,21.92,22.38
19.88,13.49,11.56,14.13
2.07,7.22,9.98,61.07
10.75,6.24,-0.18,6.58
6.52,0.68,4.05,4.15
29.94,13.31,7.95,22.36
1.23,5.17,5.56,15.64
14.75,0.7,4.34,4.29
13.97,12.7,9.63,27.11
6.24,5.21,2.22,3.14
12.25,8,6.24,5.05
9.63,8.89,7.9,6.35
2.04,7.57,6.41,15.32
3.89,1.47,1.05,6.1
7.3,17.15,16.11,26.97
5.4,9.64,8.59,5.04
5.65,9.23,4,14.71
15.39,11.76,4.16,54.63
30.23,6.31,5.6,11.55
5.77,5.04,3.09,14.53
0.73,0.73,0.48,31.77
14.15,10.39,1.56,37.11
8.94,14.89,9.76,17.2
3.33,4.28,0.67,41.54
4.94,3.31,2.53,4.46
6.24,10.44,11.54,13.6
11.25,13.75,4.53,19.89
3.09,8.76,4.41,17.35
23.47,10.69,6.61,6.47
8.96,13.84,15.04,51.45
25.84,10.52,3.06,8.2
23.4,17.35,10.64,36.39
27.76,22.22,10.4,13.45
2.4,1.66,0.02,14.95
1.37,0.97,1.2,13.46
4.29,2.09,5.22,15.9
27.61,14.54,12.14,6.71
9.55,4.79,-0.29,4.37
4,7.84,8.52,38.38
6.98,8.91,-0.6,13.77
3.85,1.8,3.53,4.1
1.97,4.09,4.34,11.18
19.56,8.29,7.66,14.21
30.56,20.34,9.41,28.66
7.6,14.66,7.44,13.09
13.51,9.72,5,16.63
16.76,13.25,10.9,17.71
2.23,16.94,9.44,25.18
10.52,10.18,5.52,9.36
27.45,29.25,21.36,60.37
1.22,3.1,2.85,3.94
24.96,13.8,6.83,12.18
3.74,5.89,13.41,29.26
3.26,8.51,0.94,13.85
13.37,3.5,3.35,3.82
9.52,28.29,11.85,38.81
16.02,8.78,9.44,14.03
10.11,7.81,6.34,23.06
19.04,3.82,10.15,35.28
7.52,7.53,13.11,10.84
3.64,4.12,4.13,6.8
17.71,7.18,6.02,29.37
6.67,14.59,19.37,34.93
22.46,7.93,5.92,17.2
23.44,8.17,6.14,14.66
4.62,4.08,10.73,21.9
18.64,8.59,11.21,7.97
2.79,9.17,3,13.64
21.17,12.23,7.39,9.7
11.41,2.52,2.98,20.91
20.2,20.31,19.82,19.05
4.64,32.59,27.03,27.48
7.87,3.28,6.18,28.77
11.13,4.13,2.09,15.77
5.08,6.09,5.17,23.86
14.56,7.23,4.72,8.48
6.49,6.34,3.51,6.09
1.5,0.06,2.16,5.7
11.6,5.99,-0.49,22.39
9.16,9.07,4.93,0.26
1.54,4.96,5.8,36.71
10.25,19.14,17.53,18.43
0.59,6.07,5.23,16.8
17.74,8.87,0.45,6.09
23.5,4.78,2.71,50.3
1.34,6.42,8.82,9.02
18.69,7.99,8.3,38.04
0.91,7.22,-0.84,17.44
12.72,53.45,39.18,43.34
11.27,5.38,2.46,7.64
3.78,2.75,0.03,8.78
1.91,0,1.76,2.11
8.45,5.84,6.08,18.17
4.03,3.72,3.49,22.97
7.07,7.56,6.17,7.34
16.51,13.37,12.16,10.82
7.36,5.53,8.52,15.06
13.73,7.57,10.55,14.45
22.51,10.8,11.58,39.91
12.94,6.83,8.3,24.82
7.93,0.49,2.89,1.07
28.82,6.64,5.83,5.86
10.88,3.22,8.54,7.34
3.07,5.09,5.99,16.03
7.19,3.54,3.06,2.8
10.62,7.78,1.15,3.91
3.49,4.34,0.67,4.71
16.65,12.49,8.06,25.36
11.45,8.59,8.36,8.01
12.94,4.89,7.03,22.06
28.1,11.18,12.28,43.67
15.68,7.09,2.15,10.66
24.67,14.47,3.87,23.31
0.52,0.99,3.4,4.69
4.77,0.15,5.48,15.21
10.32,18.87,10.76,27.01
9.76,10.24,5.02,46.39
12.8,20.5,22.49,24.76
7.88,10.49,10,16.01
3.01,5.68,7.57,3.44
1.77,3.36,1,4.18
13.91,18.27,7.99,40.08
13.77,4.6,7.61,27.37
9.56,6.96,6.82,10.68
10.71,3.4,2.92,25.94
