pCD3z(),pSLP76(),pErk(),pS6()
15.31,14.45,8.18,22.1
10.36,7.4,2.75,80.78
23.35,8.32,5.03,23.49
10.81,6.03,3.47,10.14
12.25,36.48,11.02,9.51
12.74,29.18,24.18,20.88
8.47,18.79,9.14,28.96
3.33,4.37,4.75,40.19
7.61,6.94,6.83,12.19
10.83,1.87,2.66,10.45
6.39,6.47,10.43,9.24
1.53,3.55,4.9,5.25
12.58,11.38,2.42,10.3
4.99,7.55,1.16,13.73
7.26,6.09,7.53,17.92
38.09,21.73,14.08,133.54
3.55,2.89,1.06,2.99
9.73,14.78,3.34,6.01
10.29,14.14,19.98,34.94
15.91,7.4,4.78,7.93
4.2,4.71,0.37,7.44
9.58,4.16,10.38,35.55
21.15,14.23,4.82,8.54
26.32,27.76,4.91,12.92
4.73,6.55,6.99,33.13
17.91,-0.48,1.95,25.14
15.37,28.02,11.1,10.19
10.59,18.73,16.23,30.53
2.18,19.5,8.06,14.61
20.91,5.94,5.94,24.29
4.6,9.42,11.74,6.92
11.02,1.72,6.37,18.46
4.19,3.88,1.06,5.67
29.25,12.71,24.16,74
6.37,12.81,5.52,9.55
3.77,10.33,3.08,10.35
15.75,7.28,40.83,67.22
8.44,18.26,9.01,7.67
6.29,4.5,3.53,0.32
16,20.65,6.58,9.38
9.35,12.34,11.07,39.11
32.95,6.62,2.45,21.67
11.03,16.09,4.22,5.83
3.18,2.68,24.6,116.74
15.47,4.88,4.82,6.25
6.66,16.32,13.38,40.59
19.93,8.56,12.75,10.87
5.01,6.17,2.25,14.37
13.15,11.89,14.12,28.86
-0.33,15.64,2.53,9.24
13.19,10.08,6.22,12.48
8.07,2.29,2.49,14.79
9.32,5.76,3.81,11.92
7.33,23.23,7.02,11.33
3.71,4.72,2.34,2.73
13.35,9.31,3,6.46
10.96,5.05,1.65,10.16
12.27,6.51,5.12,10.88
7.42,4.83,4.42,11.64
14.55,15.85,8.18,12.33
7.09,9.2,2.62,43.91
8.23,19.72,8.16,11.43
10.3,7.51,3.8,7.75
5.96,8.32,3.59,14.14
2.48,9.46,5.15,4.4
2.24,3.59,2.33,10.55
21.77,9.59,2.07,14.52
6.56,6.03,2.74,49.16
12.75,6.64,2.88,11.19
21.16,44.88,19.92,21.38
19.88,24.49,5.56,6.13
8.07,9.22,4.98,51.07
11.75,4.24,1.82,3.58
8.52,3.68,3.05,4.15
34.94,10.31,4.95,13.36
2.23,12.17,6.56,20.64
14.75,6.7,3.34,5.29
16.97,15.7,9.63,22.11
13.24,2.21,0.22,1.14
14.25,11,3.24,2.05
7.63,6.89,1.9,6.35
2.04,14.57,10.41,15.32
2.89,1.47,3.05,12.1
7.3,21.15,26.11,32.97
7.4,13.64,9.59,13.04
8.65,7.23,3,12.71
16.39,9.76,3.16,45.63
28.23,8.31,3.6,13.55
6.77,8.04,3.09,11.53
2.73,0.73,1.48,27.77
17.15,9.39,9.56,33.11
14.94,17.89,11.76,17.2
4.33,3.28,1.67,29.54
5.94,6.31,3.53,9.46
10.24,15.44,5.54,14.6
15.25,16.75,2.53,12.89
2.09,11.76,3.41,13.35
28.47,6.69,3.61,4.47
10.96,32.84,11.04,40.45
24.84,8.52,3.06,4.2
31.4,19.35,9.64,28.39
39.76,19.22,7.4,11.45
2.4,2.66,2.02,11.95
-0.63,0.97,1.2,13.46
5.29,7.09,2.22,8.9
34.61,14.54,4.14,3.71
6.55,0.79,0.71,2.37
6,9.84,22.52,56.38
5.98,6.91,1.4,13.77
3.85,0.8,5.53,12.1
1.97,7.09,4.34,10.18
13.56,15.29,2.66,10.21
35.56,18.34,10.41,25.66
10.6,20.66,8.44,15.09
11.51,11.72,5,16.63
18.76,14.25,3.9,15.71
2.23,23.94,7.44,18.18
14.52,12.18,4.52,7.36
29.45,45.25,11.36,57.37
2.22,4.1,0.85,3.94
22.96,11.8,4.83,13.18
4.74,17.89,9.41,27.26
6.26,8.51,7.94,11.85
11.37,3.5,5.35,7.82
12.52,35.29,9.85,37.81
20.02,15.78,9.44,15.03
11.11,15.81,11.34,16.06
21.04,3.82,19.15,45.28
6.52,18.53,8.11,14.84
8.64,4.12,7.13,10.8
25.71,13.18,8.02,22.37
8.67,39.59,23.37,30.93
25.46,8.93,5.92,12.2
25.44,11.17,7.14,6.66
8.62,5.08,8.73,20.9
16.64,14.59,6.21,8.97
7.79,9.17,0,12.64
20.17,11.23,6.39,11.7
15.41,2.52,4.98,17.91
22.2,33.31,20.82,31.05
6.64,57.59,23.03,16.48
5.87,5.28,3.18,20.77
14.13,1.13,1.09,14.77
3.08,9.09,12.17,27.86
11.56,3.23,0.72,9.48
7.49,5.34,3.51,5.09
3.5,2.06,3.16,3.7
10.6,11.99,2.51,14.39
17.16,5.07,2.93,1.26
3.54,13.96,10.8,27.71
16.25,26.14,20.53,20.43
3.59,12.07,5.23,11.8
19.74,2.87,3.45,3.09
27.5,8.78,4.71,34.3
5.34,10.42,10.82,14.02
18.69,8.99,6.3,36.04
0.91,10.22,5.16,7.44
13.72,89.45,35.18,42.34
10.27,7.38,4.46,6.64
4.78,2.75,4.03,7.78
0.91,1,1.76,5.11
8.45,10.84,9.08,18.17
6.03,5.72,4.49,18.97
11.07,6.56,4.17,6.34
17.51,22.37,7.16,13.82
11.36,13.53,10.52,24.06
14.73,8.57,13.55,13.45
24.51,13.8,6.58,44.91
20.94,3.83,4.3,17.82
6.93,1.49,0.89,2.07
37.82,9.64,-0.17,4.86
11.88,8.22,4.54,8.34
8.07,7.09,6.99,14.03
9.19,2.54,3.06,0.8
10.62,1.78,1.15,2.91
5.49,2.34,1.67,4.71
27.65,11.49,8.06,21.36
15.45,9.59,2.36,5.01
11.94,9.89,3.03,13.06
32.1,32.18,8.28,29.67
12.68,10.09,5.15,8.66
28.67,15.47,7.87,11.31
1.52,-0.01,6.4,0.69
4.77,5.15,1.48,11.21
13.32,18.87,16.76,31.01
12.76,10.24,5.02,44.39
24.8,26.5,20.49,34.76
7.88,27.49,11,11.01
5.01,10.68,5.57,5.44
0.77,2.36,3,6.18
22.91,15.27,7.99,38.08
12.77,9.6,5.61,28.37
10.56,8.96,2.82,8.68
14.71,1.4,5.92,20.94
24.78,5.75,4.34,6.79
7.72,4.47,9.25,14.07
3.82,9.35,12.73,35.63
15.44,31.78,8.38,14.15
10.2,17.3,11.07,15.99
6.34,1.95,2.01,9.08
3.11,5.84,1.43,5.2
7.9,24.47,9.87,13.15
3.89,3.24,1,5.78
7.63,27.45,10.62,17.43
53.72,3.7,9.02,20.77
11.42,22.48,10.34,34.34
4.46,6.91,3.97,2.26
14.95,11.89,13.62,23.71
16.94,7.09,7.67,19.36
3.83,6.94,8.14,31.57
4.11,35.03,12,20.01
26.74,8.69,4.68,21.72
6.76,27.25,18.82,17.93
11.85,0.38,5.99,9.15
-0.57,21.21,16.56,18.23
3.35,23.42,10.31,11.6
10.77,11.25,3.15,14.37
22.55,13.63,13.01,23.2
16.27,23.69,10.12,11.52
9.16,3.31,1.52,12.76
1.79,17.86,5.04,8.16
4.84,14.01,4.44,9.21
6.61,9.99,8.52,11.79
26.1,14.95,3.92,8.7
18,9.24,10.45,31.51
15.96,14.85,3.05,6.91
9.25,18.07,11.03,27.7
7.32,12.44,2.89,34.08
11.82,18.54,9.89,20.15
5.08,5.54,0.58,7.79
23.48,23.43,9.57,7.26
2.31,1.73,1.11,1.18
5.71,16.71,6.64,11.84
21.07,13.91,2.55,6.49
12.12,14.1,7.55,19.28
26.02,34.84,13.07,13.55
24.51,9.11,4.14,8.23
1.39,2.47,3.39,11.62
6.54,23.72,9.29,7.62
7.9,16.99,14.67,932.11
4.93,17.28,10.1,58.6
27.59,14.08,7.37,33.39
11.84,3.14,-0.1,5.87
4.69,46.5,21.45,43.78
8.04,33.3,15.3,21.58
10.3,5.34,5.36,11.08
1.75,3.41,2.65,8
8.8,6.07,5.43,26.96
13.56,25.95,10.7,17.97
8.31,3.39,2.7,8.59
14.06,7.93,6.01,28.53
24.74,18.6,12.98,16.84
3.9,2.15,2.48,13.86
31.08,31.24,9.34,10.43
9.86,15.5,3.49,7.3
13.63,1.3,7.31,18.59
0.35,4.18,4.34,10.26
4.5,11.2,5.88,10.97
20.61,3.32,1.4,1.43
5.44,2.04,0.05,4.41
23.67,12.21,7.47,17.49
1.8,0.61,0,6.31
52.39,26.93,7.43,3.2
9.74,12.86,2.19,23.23
9.05,5.11,2.53,2.91
6.76,8.46,5.95,5.67
17.54,2.68,2.13,6.54
4.67,1.4,2.97,3.89
3.93,8.17,5.26,15.14
1.08,20.89,7.46,30.62
36.34,7.23,4.69,8.36
4.11,11.74,7.76,11.36
2.56,2.71,0.43,10.42
6.51,3.06,-0.1,2.28
3.75,8.19,3.57,51.16
19.83,8.19,13.68,14.55
47.33,10.35,0.87,6.56
19.26,11.72,5.67,13.88
4,9.77,3.12,10.5
11.52,10.35,7.19,51.26
20.11,26.26,8.25,16.66
7.85,12.99,13.22,9.47
9.11,6.42,3.28,20.58
8.18,33.89,15.64,9.17
12.02,12.89,8.9,11.62
6.94,1.76,1.67,12.84
8.08,15.9,6.33,16.88
31.58,20.48,9.4,34.14
29.34,7.41,2.45,12.33
9.16,6.14,2.13,18.83
7.89,3.94,2.96,14.62
8.95,13.12,10.02,22.76
1.06,3.35,2.17,7.07
3.85,21.88,24.02,25.96
1.57,18,10.59,6.9
9.55,18.65,11.41,23.3
7.23,2.98,1.16,5.59
6.06,7.07,3.84,4.85
11.03,12.96,2.89,18.55
5.43,13.67,3.32,11.98
9.65,7.02,1.06,19.18
3.81,16.59,14.29,12.87
19.69,2.2,2.22,2.76
12.22,10.58,5.5,4.26
2.42,4.63,1.78,5.71
1.59,1.38,3.35,13.78
1.05,39.51,11.47,9
7.91,30.23,18.8,30.13
6.45,2.89,3.93,3.14
6.51,22.1,19.97,40.67
23.68,13.38,4.18,10.94
2.08,31.51,13.16,14.85
28.22,35.67,10.02,112.41
6.82,3.76,3.21,19.17
11.41,3.82,2.7,3.71
12.37,13.66,2.1,11.56
13.74,1.19,9.1,21.11
4.03,5.55,2.95,13.02
16.19,12.43,4.22,12.82
3.2,10.67,4.51,6.02
