P1(),P2(),P3()
934.123,450.994,473.304
751.975,555.596,936.866
438.015,208.134,148.692
926.164,683.244,1240.79
1550.81,781.981,800.663
808.492,468.353,635.607
73.2444,32.9993,53.4963
339.966,202.476,210.609
1087.55,624.985,779.935
356.678,188.221,255.995
548.229,307.91,380.659
651.335,379.85,514.595
2648.62,1379.39,1385.8
1050.86,539.894,507.294
1926.55,985.593,913.802
376.226,201.763,183.493
1198.36,918.319,1728.28
1206.68,746.626,1394.71
611.058,316.575,287.714
1478.71,844.965,1158.63
1012.61,600.228,538.527
1081.9,594.729,687.461
1502.45,863.166,1367
560.698,276.656,272.769
437.509,239.772,368.008
969.196,550.392,669.293
898.806,469.897,550.766
959.857,550.692,750.155
1716.47,1010.93,1507.59
840.93,395.89,467.134
1004.62,588.498,962.156
511.274,261.282,377.741
396.429,192.925,196.521
1066.07,704.76,1292.54
3088.53,1871.21,3060.27
777.545,415.383,578.842
1035.31,710.567,1303.12
785.137,529.551,902.599
1295.35,732.42,636.717
2069.56,1126.4,1424.41
316.37,165.026,166.467
1264.99,752.389,1165.08
561.569,320.812,346.855
1866.42,936.535,785.791
746.047,424.335,633.069
955.932,559.767,827.875
820.182,444.383,456.449
572.713,352.751,600.518
832.779,507.123,655.755
1596.3,801.584,692.296
561.091,276.342,359.262
885.823,527.639,802.691
679.479,371.021,491.594
561.54,285.005,213.593
1311.2,664.405,630.047
946.339,441.355,311.579
715.759,356.803,353.53
1179.6,723.993,1252.45
1063.29,540.015,447.205
2338.97,1187.48,1218.21
1346.13,859.396,1472.83
286.742,129.536,156.528
2149.72,1415.71,2571.26
444.886,225.812,304.723
2269.18,1504.35,3031.16
400.601,198.023,271.32
936.161,541.78,834.024
2045.17,1102.7,1060.24
1363.24,727.086,723.6
2488.16,1193.85,912.233
1745.73,839.554,781.32
1538.8,717.353,597.427
903.34,553.68,973.583
528.745,278.946,282.62
264.036,158.022,124.549
5226.49,3022.41,4972.49
1865.71,995.893,1032.3
263.862,145.332,129.332
486.726,245.678,347.747
1733.07,907.614,680.58
1672.94,784.91,871.938
2697.94,1911.95,3823.79
998.028,528.424,630.796
707.911,366.202,355.322
1333.62,727.202,827.17
917.521,610.56,1167.95
1166.97,729.373,1046.74
1946.44,975.773,666.335
1856.18,1119.57,1637.78
1510.23,836.304,966.813
1057.41,570.145,601.235
360.918,180.752,175.864
863.323,500.257,904.36
972.272,617.592,828.78
286.324,179.857,231.347
478.367,263.057,368.244
1290.92,611.412,438.244
782.175,563.788,1031.8
1219.15,636.203,606.78
972.069,608.63,975.619
375.87,221.524,354.498
645.98,339.614,317.582
1429.58,637.459,599.423
528.315,284.024,306.502
2810.62,1985.61,3605.66
1357.63,694.121,987.847
343.58,207.738,297.213
2523.09,1421.08,1468.77
1841.99,923.466,830.601
648.162,342.469,276.22
720.008,404.809,354.953
2030.15,1007.33,1034.38
883.988,609.008,1293.81
1415.54,721.928,569.953
1330.49,705.74,696.753
2608.24,1833.06,3441.78
1119.88,547.903,478.671
455.068,221.214,180.796
651.887,330.383,294.568
1157.54,672.608,1082.62
1939.32,1099.35,1659.14
479.173,311.391,438.005
1086.93,590.384,686.475
322.1,243.996,251.002
1618.3,940.673,1010.4
525.13,264.87,382.809
534.256,246.952,220.749
827.03,478.718,576.69
1008.86,560.636,548.019
798.525,372.509,425.177
1183.4,635.116,791.071
734.714,406.936,357.455
546.696,260.185,300.222
718.395,442.914,885.503
812.487,429.868,440.533
1962.9,993.598,903.708
632.161,384.133,387.921
1203.78,597.938,586.232
903.846,516.688,1004.4
1124.41,717.092,1309.56
593.241,285.264,227.446
416.615,291.912,494.408
816.61,407.617,378.083
2129.37,1125.68,1136.48
1007.36,456.915,421.085
451.649,250.761,318.467
187.493,88.6376,98.1325
1507.26,819.816,1006.85
1198.48,829.635,1385.48
1116,698.5,1319.77
1628.31,919.655,1467.27
673.948,385.214,506.303
1401.14,847.943,1444.96
1604.72,910.849,1026.8
452.534,219.425,246.883
184.977,89.0992,76.6673
1364.25,707.29,819.552
1917.22,926.731,885.15
494.744,297.004,305.337
842.784,411.231,458.7
8911.49,5614.35,9652.89
636.425,346.331,363.23
1000.92,578.562,835.568
917.473,511.033,529.735
1085.04,507.605,317.72
427.426,248.396,334.72
376.031,222.978,269.982
986.3,574.097,523.643
567.426,291.928,272.495
309.151,146.655,117.029
1950.44,1221.73,2250.67
277.756,139.102,165.457
806.219,419.962,476.329
958.936,545.545,644.136
802.622,452.448,468.826
991.314,523.616,595.765
835.3,470.155,528.347
566.8,299.039,363.141
2782.39,1684.99,2899.54
1932.72,980.017,769.834
676.702,335.104,230.01
1025.38,551.08,412.252
574.948,346.09,540.292
1552.87,874.115,1223.92
758.576,364.733,354.59
2095.19,1137.75,1286.85
2964.49,2007.58,4274.2
295.549,175.904,229.877
1890.08,1304.39,2811.32
1599.93,836.189,922.13
544.847,256.95,253.551
316.649,171.06,207.246
351.795,214.97,178.159
514.396,283.61,348.638
1007.63,707.725,1202.77
3406.39,2360.09,4597.06
811.31,529.216,954.766
1085.74,685.258,1386.08
2043.47,1082.73,1076.12
570.173,329.205,477.835
908.953,451.063,641.714
796.993,470.875,605.519
1025.01,566.199,616.254
980.79,577.309,722.922
2325.29,1069,970.026
1550.52,854.178,1016.48
1430.97,660.75,403.491
711.911,361.94,376.333
426.707,250.977,343.531
797.244,376.515,403.884
243.582,139.253,117.627
2115.6,1161.85,1321.43
1144.36,548.262,573.664
645.179,329.453,291.003
1678.62,1053.94,1473.82
740.011,390.297,442.146
928.59,460.887,391.345
1472.88,750.815,589.621
854.013,489.257,550.015
1616.86,978.826,1627.28
1330.5,652.892,751.479
959.128,587.807,806.243
734.158,378.369,436.972
1247.94,686.736,747.572
1310.48,761.938,1106.25
1416.73,752.958,840.112
651.956,346.125,557.28
970.81,526.936,669.188
1046.92,494.14,418.828
965.597,589.75,932.883
776.822,416.967,483.225
1108.43,870.103,1700.44
1192.03,691.943,1266.16
365.614,230.99,254.77
1462.52,993.419,1653.91
2006.94,1068.57,1134.68
2480.94,1635.36,3272.48
833.901,509.18,866.354
1075.31,486.039,440.569
1121.78,553.723,530.222
418.113,230.814,266.185
754.242,427.082,577.01
932.033,456.21,371.792
2885.84,1797.05,2693.83
446.454,232.631,246.117
1629.33,1028.57,1613.65
901.152,538.123,812.358
2161.69,1092.26,847.022
924.467,433.681,310.125
473.962,364.484,675.005
1345.26,716.536,858.209
375.455,221.796,210.346
444.398,216.158,214.032
1869.19,994.675,848.219
2008.1,1162.51,2002.11
1958.72,1299.63,2572.61
833.452,385.574,226.456
591.336,342.911,511.653
2342.93,1381.89,2059.85
260.357,182.6,226.504
1064.44,633.866,899.259
1074.37,706.773,1027.42
794.417,404.359,380.341
1941.38,1220.82,1757.18
1624.29,858.864,969.777
247.073,123.561,105.954
1370.18,740.115,960.991
931.131,551.909,844.361
690.545,398.787,498.9
819.347,425.017,730.308
1366.9,686.212,805.361
692.243,380.344,393.995
264.183,136.584,115.201
416.395,239.129,448.623
1424.72,739.379,724.882
1368.43,749.563,906.933
425.451,201.725,359.99
684.106,373.095,238.174
1305.28,746.02,1108.5
1846.9,1061.26,1459.66
3022.69,1498.22,1219.22
1364.92,894.171,1632.71
1290.18,774.789,1351.74
942.678,511.572,407.365
3749.57,1985.65,1918.4
1469.76,746.919,666.52
2611.52,1254.26,823.436
668.148,345.441,288.24
805.305,410.014,506.908
285.809,195.546,404.309
363.207,222.501,315.47
771.804,413.112,433.24
588.883,290.692,357.808
951.704,627.146,1241.45
769.11,503.859,989.815
1024.48,617.344,789.197
685.035,402.51,618.643
828.877,465.901,463.643
267.242,150.888,161.893
1737.91,821.786,507.959
3337.26,2039.41,3357.9
1233.82,716.403,920.228
266.212,162.272,237.174
699.547,443.059,692.766
1818.01,1142.92,2107.99
960.34,544.633,969.41
735.146,386.56,446.125
546.216,314.664,450.829
331.809,196.857,161.958
1017.86,603.726,1104.37
748.116,395.623,694.677
577.261,306.729,443.428
876.234,471.594,502.906
963.441,600.002,835.364
1823.88,990.354,1170.32
1812.67,883.33,699.171
1060.53,556.179,534.224
1276.99,671.886,830.919
442.252,275.66,400.561
3139.39,2033.67,3990.12
204.628,99.5263,143.827
1324.47,636.35,576.213
673.249,386.725,686.821
304.902,167.688,184.77
1452.48,806.104,1231.49
1030.05,440.838,399.622
609.829,313.678,279.716
1517.32,844.196,1131.54
830.61,453.13,621.959
1580.7,961.165,1068.88
1239.94,749.362,1079.74
401.086,223.839,289.871
503.641,259.095,255.081
551.705,305.688,255.702
2391.38,1448.95,2334.89
633.642,287.97,226.803
1735.87,1150.95,2244.68
902.117,532.69,807.324
2459.11,1423.87,2055.22
594.391,323.225,257.129
992.59,551.397,773.249
835.286,365.407,379.378
288.929,137.793,145.596
1411.48,836.194,1235.82
1411.51,938.409,1655.92
731.112,412.541,591.622
601.216,285.988,422.446
2199.49,1085.66,1014.54
1376.08,695.919,626.153
3192.96,1641.79,1610.4
814.422,419.577,439.07
1559.2,1050.89,1617.99
2245.57,1648.33,3039.12
2169.08,1055.45,1113.69
1337.1,717.527,1010.02
886.39,514.543,857.227
1879.58,1083.65,1639.83
370.309,181.257,271.225
162.648,69.4949,146.114
1605.59,829.15,885.764
1296.17,717.963,734.857
2797.24,1728.78,2708.7
988.011,549.998,698.234
896.069,411.053,330.793
482.252,288.555,313.504
722.223,384.719,338.408
1203.6,681.56,929.747
915.657,518.534,612.493
1321.67,738.484,974.696
591.727,347.348,428.719
545.655,273.942,322.97
814.81,495.753,618.96
763.802,372.831,357.253
4300.35,2194.12,1841.45
1024.32,516.633,299.821
918.102,471.641,458.095
2218.41,1138.75,1040.46
2833.4,1492.35,1936.87
1045.75,681.106,1052.24
945.55,456.046,327.015
1569.85,808.824,724.122
556.892,266.933,222.497
4891.78,2642.3,2678.78
1122.89,621.92,804.634
714.182,499.929,796.517
696.318,372.243,514.576
3486.69,1974.13,2259.85
1754.22,1010.41,1306.88
636.245,318.725,338.859
215.656,100.854,113.061
933.218,427.099,294.78
300.701,173.13,227.02
573.762,304.052,294.201
1649.96,813.341,696.283
2348.91,1589.17,3316.29
631.133,317.934,426.01
1341.23,872.399,1449.23
3168.84,1748.63,2227.66
2030.94,1099.47,1210.28
1281.01,765.963,1220.07
1329.78,760.142,903.598
3465.16,2551.73,4674.27
891.363,447.94,478.288
628.108,332.222,314.001
1354.3,701.287,812.418
609.226,347.075,400.29
4066.89,2122.18,1896.12
2768.21,1360.8,1552.56
652.148,389.356,793.489
1504.81,726.673,631.097
3503.8,1761.46,1534.03
274.343,130.634,146.284
1564.22,952.736,1319.03
885.359,501.47,596.65
2035.04,1204.13,1955.06
453.988,225.367,203.065
579.058,274.811,307.257
318.307,175.527,186.502
1088,592.821,672.445
1763.68,913.178,793.019
907.355,648.042,1160.57
1258.49,679.64,760.286
434.154,276.674,479.537
2328.68,1534.03,2577.34
1628.22,823.584,961.995
451.255,280.028,594.754
3276.63,1602.42,1268.53
1760.08,1053.2,1700.47
865.589,431.553,480.606
3110.34,1522.56,1411.83
680.32,374.491,402.617
1631.53,852.405,828.063
732.742,496.801,845.591
503.771,288.238,323.55
1755.46,993.733,1003.35
743.505,385.532,359.871
776.034,395.547,341.288
835.35,513.414,760.991
3801.71,2077.2,1827
870.914,605.254,1253.18
2023.17,1031.28,681.416
1695.67,930.283,1018.4
1356.32,875.379,1402.19
849.661,496.496,621.354
343.124,212.157,297.779
1571.29,868.898,1095.09
2295.58,1401.56,1726.35
876.292,444.806,432.893
822.339,424.234,443.106
651.324,393.977,449.04
655.86,345.292,334.989
1871.12,1308.41,2509.49
2752.21,1480.08,1845.55
771.664,396.481,306.31
564.383,383.331,524.343
380.956,222.169,344.355
1160.46,601.418,477.211
2084.7,1342.39,2057.54
1462,997.604,1871.57
158.12,106.135,160.726
312.488,179.347,219.863
623.883,347.338,302.494
896.503,436.222,372.475
376.65,230.982,354.408
3609.14,2018.59,2277.68
1593.04,971.439,1621.17
367.117,234.174,239.208
960.882,449.036,367.422
1210.36,661.664,897.482
641.368,310.636,369.642
1512.74,764.442,616.631
1956.94,1139.46,1492.37
2745.42,1438.97,1300.45
1345.46,841.263,1027.21
5084.99,3131.23,5026.21
245.982,130.97,137.922
1262.78,749.11,1105.98
812.692,495.29,738.533
646.68,340.645,421.854
1476.63,947.71,1475.51
968.117,494.852,471.866
544.992,322.388,338.048
1368.94,728.724,959.495
746.332,482.902,850.434
241.683,137.33,131.105
810.757,540.871,1005.1
621.747,313.289,367.463
816.993,359.319,280.549
589.964,359.186,496.173
2072.34,1125.22,1378.19
1120.59,610.348,707.015
769.301,354.07,303.791
2620.47,1371.12,1269.34
875.266,575.986,995.214
1766.52,1017.91,1310.81
731.925,452.799,766.021
952.972,569.252,831.846
462.279,241.719,171.689
695.492,405.204,776.396
656.91,334.598,297.679
1076.96,687.746,1149.94
1164.68,700.808,1200.61
733.978,384.82,247.71
244.34,106.489,132.22
1209.82,659.433,807.986
684.348,436.467,679.491
1053.94,573.014,516.915
3322.87,1811.85,2084.92
1419.47,865.153,1061.86
600.947,361.379,511.244
245.759,155.327,285.925
1279.78,801.482,1140.87
997.716,570.078,639.932
2845.47,1729.3,2356.69
306.539,164.665,213.159
1105.76,603.923,740.393
1655.1,1116.56,2002.34
427.35,218.047,187.488
1847.89,961.915,1061.93
902.097,534.959,873.424
1628.72,812.351,843.255
458.946,227.214,282.761
1351.84,706.877,788.383
725.205,431.972,565.519
506.069,256.697,224.062
1008.26,468.807,497.245
1572.69,843.362,981.261
923.176,493.075,582.969
3030.19,1401.48,1046.76
3192.58,1505.62,1350.24
1358.35,580.855,481.817
689.18,358.059,312.35
1161.63,744.147,1301.42
560.675,340.388,399.266
1272.04,725.094,1052.98
985.254,519.195,555.801
932.78,428.055,458.633
663.14,442.055,787.707
2230.22,1196.62,1008.16
5034.16,2574.53,2178.41
1593.58,739.916,743.715
762.807,441.007,518.715
258.962,148.884,152.052
1125.52,599.181,656.803
1020.45,504.561,477.367
794.03,553.761,920.08
782.8,454.101,611.05
634.715,330.353,384.215
3366.77,2046.57,3487.13
752.448,370.021,300.762
1391.86,748.87,951.289
870.551,443.555,456.247
656.388,376.496,558.068
715.132,467.298,917.237
1606.18,1058.55,1804.44
2459.13,1317.72,1545.93
804.63,464.329,575.975
209.512,84.9379,92.4393
2991.34,1473.3,1228.68
3402.74,1657.91,1312.85
1497.41,724.353,732.719
2295,1268.49,1550.77
3348.58,1882.35,2236.02
1605.08,921.82,1222.84
2241.18,1330.74,2155.61
1636.94,846.753,1004.31
1600.95,1065.06,2015.45
785.796,318.546,289.649
610.196,301.762,464.855
392.229,243.355,496.951
731.651,405.133,611.208
1574.7,1067,2231.26
514.287,360.062,612.831
1551.74,854.227,936.968
765.152,375.515,480.523
1623.75,1103.08,1888.63
2199.38,1272.37,1654.88
699.231,346.253,385.708
479.422,252.088,289.308
1251.65,605.071,664.888
1064.34,587.387,807.707
629.046,387.592,741.461
1032.71,608.371,832.575
1072.57,548.849,394.693
964.288,522.773,811.716
1162.33,642.517,920.091
2030.06,1105.96,1222.49
988.777,584.563,977.12
329.434,217.675,251.749
850.5,546.107,825.404
1712.68,958.12,1572.46
441.674,231.818,233.327
923.386,491.48,407.158
2416.99,1317.67,1599.91
1862.08,937.46,968.074
517.907,274.865,237.002
765.858,403.135,667.757
859.23,444.32,438.64
1489.99,910.808,1548.35
619.486,399.399,495.084
1580.68,972.711,1581.84
558.648,281.848,295.613
1316.96,910.865,1991.31
1038.55,576.297,817.184
439.704,248.811,353.266
1031.18,579.189,534.592
2809.95,1598.03,2145.18
1452.53,777.657,795.748
2421.53,1153.45,942.127
1752.15,836.053,605.799
850.351,449.846,604.471
2303.83,1256.95,1415.78
425.198,221.805,298.913
800.081,462.314,523.525
1158.09,754.962,1167.11
852.962,439.137,376.168
679.258,366.492,249.711
1391.86,751.949,958.745
1015.9,521.703,309.243
919.672,595.302,846.206
1217.65,638.696,496.176
1773.87,1278.14,2737.86
1714.01,877.968,952.335
874.783,448.822,527.937
959.417,472.604,381.226
1541.31,782.856,617.417
