Est,Obs
11.5263,11.4785
11.4476,11.5206
7.29838,7.69268
16.158,21.0976
84.2331,100.698
81.4135,104.802
33.2391,71.1406
2115.81,1117.06
29.5188,17.5912
10.0438,1.01937
3.75351,10.461
30.8299,3.28421
21.5363,17.1904
39.9652,46.0558
