P1(),P2(),P3()
5.95646,4.79765,3.1759
14.5508,6.91694,6.00083
13.2245,15.3399,18.5752
7.32876,2.81095,2.18122
28.7222,14.7471,23.792
26.1088,7.83903,18.4782
4.01673,1.92061,2.19222
6.68161,-0.316919,3.70647
6.83453,0.236854,3.8736
3.91821,3.21545,1.37175
8.63221,-0.11955,5.55604
5.06593,-0.261777,4.12662
6.45494,5.44432,4.30229
9.03987,3.76594,4.38957
6.94495,4.94507,1.15897
17.1227,18.132,12.5876
11.0019,3.68455,5.38572
2.51231,1.95293,5.838
1.15739,1.12838,6.21516
13.0404,14.4418,9.12263
7.46462,5.32574,6.05172
18.5855,5.57703,5.40403
18.8342,10.8318,7.96109
24.1881,19.1219,20.2601
6.48856,3.98792,4.18661
5.42336,6.44208,5.96126
6.92712,4.08712,4.03474
25.1846,10.3172,16.4876
16.8132,3.04945,19.4636
3.7653,-0.187895,1.31829
13.3061,10.4657,14.3333
5.07578,9.33833,6.21034
3.98638,3.63163,1.61759
7.07822,1.96375,5.14539
2.89394,1.48326,8.49519
10.1746,8.74193,7.27981
24.3402,26.9064,41.0911
9.64224,2.18031,4.62592
7.8018,4.60995,4.74511
19.1699,12.0958,14.6116
56.0551,30.3673,35.3165
4.77383,3.0482,2.16943
8.63558,3.98467,4.55227
6.66648,6.16427,4.43066
16.5688,8.96583,14.9549
4.5158,7.56841,4.99508
16.486,4.89466,9.80803
6.48699,7.75478,-0.02383
5.83517,2.35063,2.84304
5.30125,-0.715516,2.76805
9.10305,0.622618,2.59775
12.0418,0.946427,8.32066
1.60008,0.58952,5.784
5.11598,5.13457,2.71911
4.59892,7.67361,2.29929
9.19963,3.45687,2.49613
6.59116,4.38711,5.97067
31.0528,18.0551,17.4793
12.2563,2.70375,11.7189
11.0467,9.01679,8.14044
11.2802,2.75573,3.33284
4.90115,4.51526,9.89529
4.59892,3.5709,2.25876
3.62817,-0.129345,3.59828
8.56506,3.70871,4.83982
13.2431,4.05824,14.8637
10.0428,4.0854,4.74147
3.79618,4.12948,3.9489
9.85248,-0.559747,4.40568
4.79944,-0.274658,1.42437
5.75049,4.11636,4.98764
5.78343,3.63977,-0.231066
8.35403,3.5818,11.8724
20.4558,8.46879,9.91545
8.9525,8.25404,5.80413
3.85247,1.04736,1.2
30.4175,16.4516,20.038
30.0917,23.8206,22.843
6.39147,2.47517,5.20835
1.9502,4.2037,3.20928
6.44937,3.25536,0.84071
17.6837,11.2106,13.5406
13.0736,-0.3548,2.21925
15.4637,11.7606,6.32888
3.74571,0.47063,6.68754
10.3252,4.29968,8.03429
8.65397,4.37819,5.5946
6.64621,3.5692,2.12335
22.0735,6.0065,11.5045
13.6204,5.63636,6.05308
7.82651,9.29418,6.85933
9.87211,4.48391,10.4938
5.3563,8.46392,6.1938
15.9349,6.20897,12.184
7.26243,10.5161,7.91107
8.62371,4.2485,6.08744
11.2776,1.51477,4.57478
16.2935,7.60183,15.8953
5.25593,3.42327,7.65497
14.5203,6.49068,20.693
7.9509,5.07433,4.65851
0.768394,4.42283,2.85345
33.0071,23.0297,34.9941
19.0364,13.6525,11.673
6.06978,-0.284547,5.49564
7.50701,5.62011,3.80914
7.07016,5.95031,7.20342
-0.443969,6.68031,11.1202
26.869,17.8493,11.2408
10.0841,8.28587,6.3933
3.06984,-0.491954,4.38519
12.4347,9.55915,6.11187
14.0915,3.89789,4.98272
4.30985,4.9204,5.10884
8.01262,6.44957,10.2783
5.98331,2.41342,8.48305
15.8742,7.93212,8.49146
18.3422,10.0829,12.3148
9.17845,7.64567,6.56703
13.0305,8.46331,2.73161
45.6532,33.2801,28.5033
5.80082,4.72351,4.85725
16.637,7.62622,8.97148
8.38189,3.26911,7.39626
10.2451,10.0599,5.47115
4.04118,5.39188,0.065088
2.76462,5.08868,-0.008207
7.74727,-0.346603,3.59593
16.8968,3.654,9.81975
21.9253,13.2126,13.535
31.523,18.6248,27.8733
4.65697,1.02828,0.835559
9.80512,8.08278,7.93743
1.84529,2.73414,5.08073
7.27594,4.36766,4.52528
7.64637,4.04619,4.0523
46.8952,21.3512,28.1663
7.73905,4.80302,3.25442
4.89207,4.58167,2.27971
5.05818,4.40275,7.19723
8.24055,2.27617,7.89672
20.4668,9.5934,16.0451
10.8043,3.61272,8.03118
12.1075,8.05108,9.11118
29.9318,22.7493,27.425
11.4089,5.42717,10.0199
11.141,8.20397,5.16969
21.1795,12.7667,15.5032
7.8644,3.27427,5.52488
6.42702,4.58143,5.20196
14.326,5.19632,11.9273
12.1483,8.14315,12.5563
15.2753,7.90937,7.97534
7.39817,4.97041,7.13855
6.66252,-0.062626,3.43156
13.1317,6.6202,13.5549
11.5366,5.34405,3.65836
6.32778,3.6941,11.5015
3.96892,-0.552258,5.01356
7.98489,3.77457,3.32085
7.82425,6.66139,4.18747
15.2389,15.9206,13.088
25.6904,7.55424,15.2262
9.18921,-0.6391,7.76154
9.70453,3.55341,6.217
13.2838,6.65224,6.84632
7.82579,8.91956,7.05657
7.69059,5.17329,3.03713
8.09322,5.36143,3.73171
15.8646,8.92041,8.8455
19.935,12.5109,14.3962
5.39016,3.68203,6.66949
10.4851,3.31176,4.43542
9.79386,1.59432,6.34148
10.7724,3.84294,10.0783
12.7211,9.76324,5.48451
11.2592,3.75336,5.61209
3.56706,2.62675,4.77101
5.02006,8.20405,5.94209
3.78252,2.17411,3.33868
23.8152,22.2656,22.9841
8.36817,4.91835,7.46584
23.2041,8.08739,20.9628
13.7581,4.3594,8.52848
10.4152,3.71734,9.88133
8.1918,3.77711,8.27638
3.94836,7.38765,4.34967
3.71712,-0.468123,7.11322
9.97113,4.82975,8.57169
7.98969,7.74066,5.64116
20.9966,10.0566,16.6427
4.28697,-0.235612,7.61958
15.6411,5.36322,14.1767
27.6741,12.6026,13.4236
22.212,12.1814,17.2198
5.8426,5.29049,3.26564
27.9308,17.4078,22.6432
28.3811,17.7446,33.7442
9.36937,7.35235,8.95751
9.47487,8.35604,10.0728
13.3251,3.98341,15.2325
3.11186,6.1596,1.75951
12.3781,10.9517,12.0308
5.15186,1.00172,0.864074
5.73654,6.16441,2.15513
10.0125,7.81099,12.1236
2.45945,2.73283,0.996895
9.10486,5.4348,8.33908
11.5518,7.91976,7.57969
1.74943,-0.0292406,10.1537
2.54705,4.56285,2.55092
3.01602,5.82904,8.0106
38.0449,17.6238,12.2662
5.91105,0.331031,3.81263
11.3372,8.84135,10.1274
15.0748,2.46199,2.88591
10.2442,9.38649,6.56885
7.65367,3.31895,4.56098
7.58243,8.86509,9.05195
3.62449,2.12799,3.75257
17.6169,5.9709,-0.22267
13.5076,8.98737,12.9309
11.0633,3.55398,8.07224
1.30725,5.10673,5.07983
18.8843,9.64899,6.41312
3.27882,1.06529,4.54738
1.07892,2.23822,0.892711
29.2014,15.9807,33.8217
25.5516,5.03811,14.5854
11.7011,7.1811,4.2533
12.7256,3.04499,2.5877
18.0366,3.04905,4.59378
2.99427,3.2026,4.4352
4.5549,6.61095,9.5257
9.22521,5.82148,8.6358
9.05945,5.66865,5.43522
14.6594,8.26607,12.1066
2.40322,4.02169,4.68193
8.87924,3.80081,8.54059
4.27537,1.04444,9.28883
10.5313,6.89426,7.3064
14.4186,5.49126,12.4157
2.49667,2.72616,2.0949
2.63863,-0.146587,1.99583
3.47295,4.53887,4.08618
15.9182,7.27783,5.47804
11.3364,8.16443,2.52788
10.0182,4.26895,2.40872
12.6087,4.42474,11.209
4.15645,-0.0779375,2.39116
9.38067,6.58107,9.88844
5.8996,-0.449906,5.95412
7.90256,5.87104,10.7997
9.94406,4.52863,4.74036
10.472,9.43589,8.19925
11.7354,8.41325,8.74656
1.48031,1.04544,2.10117
2.1075,3.57344,5.65113
6.50367,7.27056,11.699
12.5414,7.43686,13.176
7.54746,9.52981,14.214
8.19907,6.09812,3.39776
20.665,10.476,10.9063
6.3209,-0.107775,3.41642
8.06452,4.85649,5.11697
24.5251,8.73792,14.817
2.92518,-0.299455,0.484276
11.6872,5.92274,10.6098
5.54135,4.04016,4.30269
7.70815,8.99768,7.55558
11.2208,5.50106,8.69919
4.38173,2.10884,2.30629
10.9865,3.95095,3.50781
9.26864,2.94368,3.32344
17.9505,18.607,36.5426
12.3403,6.09876,8.56578
6.71273,5.69732,4.5175
37.262,21.8368,32.5663
3.60997,1.18754,1.27662
12.6815,7.66156,6.44117
13.1589,7.11392,11.3605
4.32096,-0.167016,2.68789
19.4387,11.839,13.0455
12.9455,11.9848,22.3183
3.62439,5.89808,4.91237
5.72612,2.55582,6.93878
7.87627,2.25696,9.649
13.4022,3.28658,2.97517
48.7402,36.5289,69.6727
4.30313,5.86532,1.451
8.06356,14.6466,21.3565
39.2407,25.0475,13.5885
6.282,4.19626,3.75434
25.7634,12.6537,23.3419
30.7675,12.3107,25.7383
22.2264,15.0037,15.5986
10.3602,8.61945,8.38298
4.22032,1.69795,4.08848
1.35449,2.14279,-0.0599755
8.98379,7.34935,3.20767
30.725,9.68224,19.5595
4.33217,1.96378,1.9614
56.4442,32.279,60.8597
15.8175,13.853,7.62305
4.34499,0.210526,3.80653
24.1174,12.2931,21.2218
18.8753,5.92052,9.64692
2.37982,3.62197,3.87919
13.5314,5.56394,5.97752
5.82895,-0.0678422,3.0978
11.9968,4.99237,6.77486
12.3667,7.53893,9.01913
10.9187,5.30587,15.4626
15.33,3.55064,9.72343
8.49101,4.519,3.91434
5.23603,2.02734,2.79272
12.3806,8.4498,11.7135
5.06336,2.6514,4.44537
12.6489,5.32184,7.81401
4.48437,6.27901,6.20299
8.62414,3.65903,8.38521
14.4716,9.43031,7.87894
9.89714,1.7052,5.20298
8.47176,3.3793,4.47798
16.6532,9.94428,7.99064
7.24771,2.31117,5.48714
