Estimated,Observed
11.2572,11.4785
12.0274,11.5206
7.14866,7.69268
19.5724,21.0976
78.0343,100.698
105.544,104.802
38.5977,71.1406
1518.1,1117.06
25.9614,17.5912
7.96916,1.01937
7.36277,10.461
36.2758,3.28421
40.7197,17.1904
68.1905,46.0558
