Est,Obs
2.49549,2.02876
1513.29,1502.19
206.914,209.331
160.975,166.261
15.4807,17.7546
195.861,194.577
24.0547,38.9033
280271,297014
6311.31,6491.13
21862.2,21798.8
1604.88,1643.98
4344.12,4090.5
-875.963,-858.206
140.328,136.465
274.252,294.958
-18.2787,-17.4936
11.6364,7.96707
-12788.2,-12769
-25001.3,-25499.7
2899.4,3417.3
932.487,1354.2
10112.3,10341.5
-993.114,-1090.96
1329.53,1390.83
-2291.41,-2570.29
-2643.81,-2240.45
441.017,526.568
