P1(),P2(),P3()
706.822,526.375,185.538
623.394,505.326,158.519
1309.46,979.193,330.981
4639.02,3286.64,1308.11
849.224,609.031,186.592
886.18,620.995,208.511
2345.99,1661.58,580.161
6187.51,4334.73,1651.65
498.383,356.82,143.943
899.558,587.467,230.227
886.649,609.427,230.066
2026.88,1495.58,526.493
860.58,612.841,234.508
1607.6,1080.47,430.803
731.699,509.478,180.617
557.518,396.063,149.304
377.125,264.448,93.8052
626.305,446.262,159.775
1122.18,711.643,297.066
418.008,278.952,100.4
689.598,437.457,169.911
736.892,496.361,223.929
764.963,527.687,222.613
903.116,576.711,215.067
3373.28,2401.51,883.933
1421.63,919.375,326.895
1407.67,1025.68,387.044
882.017,617.573,237.284
978.115,688.526,264.529
557.892,371.09,113.876
348.817,265.065,95.8279
869.506,607.871,233.982
1622.31,1152.82,441.368
957.277,684.54,245.147
639.618,390.948,156.889
713.248,476.025,180.568
309.944,197.534,87.4372
758.049,518.636,208.764
490.343,313.977,114.893
1187.4,841.18,352.244
1976.58,1361.88,545.545
1154.25,810.404,336.413
315.247,216.736,78.0005
3424.75,2423.16,842.805
4021.17,2613.06,1041.3
711.147,485.517,210.835
460.02,359.37,116.928
534.937,376.536,143.071
2126.37,1540.06,577.056
748.364,541.52,203.925
1740.37,1174.06,440.888
560.571,395.063,134.754
1154.52,810.967,300.429
955.397,629.819,277.46
669.621,407.92,156.335
2040.35,1403.65,514.451
1314.04,880.636,336.308
1267.65,805.418,324.933
1260.21,895.391,329.378
1001.63,692.392,307.38
1719.49,1244.9,468.404
1297.24,925.614,346.107
970.371,670.85,254.744
883.764,615.477,237.478
2016.35,1400.18,562.53
817.593,567.327,248.497
2097.03,1473.07,600.303
906.09,629.433,232.851
426.839,274.283,103.345
4624.71,3194.97,1283.41
2281.64,1546.25,608.304
549.978,414.545,163.564
875.701,591.011,226.914
1016.02,718.031,288.342
870.603,605.031,260.021
2829.9,2012.93,753.079
1264.41,869.587,342.33
372.984,252.805,70.5187
1447.47,969.915,393.187
1199.15,816.789,281.272
732.985,496.04,204.884
1241.26,891.957,340.826
863.331,586.342,238.305
1615.42,1161.21,453.146
2076.22,1480.29,517.477
1209.85,833.567,295.703
1255.05,858.331,309.161
5523.32,3764.01,1456.33
726.082,576.351,235.725
1697.7,1156.62,469.148
928.189,721.911,254.625
1388.51,855.992,333.115
507.118,319.188,123.509
374.462,312.868,97.1793
543.727,393.34,162.593
1533.68,1091.4,411.975
2452.53,1754.26,660.505
3985.3,2755.48,1061.33
317.697,240.828,93.5559
1354.51,889.278,338.743
494.529,338.414,133.073
833.594,580.766,202.528
815.638,557.619,201.23
4980.52,3370.12,1290.63
834.905,550.302,194.442
635.207,409.168,130.971
867.818,570.275,227.723
944.055,666.617,230.672
2322.68,1683.34,604.507
1133.43,776.272,335.118
1514.75,1007.11,405.118
4169.18,2766.93,1074.5
1337.89,950.717,396.986
1261.1,875.397,314.969
2501.95,1747.67,695.32
820.44,602.427,243.488
791.702,596.143,233.196
1557.6,1191.63,395.727
1672.83,1159.32,452.633
1630.53,1066.94,418.534
997.817,673.041,279.855
490.252,360.737,152.156
1710.17,1205.02,415.485
1055.66,738.405,259.837
1078.78,769.41,304.155
410.892,319.774,112.356
756.49,562.457,189.085
969.425,664.139,233.747
2338.89,1490.06,595.804
2444.04,1734.42,668.622
784.921,593.09,253.154
985.453,729.341,232.7
1393.38,960.224,324.632
1166.58,885.956,327.657
821.059,560.329,208.713
920.322,588.143,210.171
1712.46,1192.04,458.55
2425.5,1612.09,646.62
797.016,532.203,244.949
936.507,639.176,247.542
911.386,605.432,256.148
1233.24,897.294,338.833
1437.11,971.324,388.451
1050.92,734.336,277.209
533.707,419.675,143.101
954.006,692.405,270.209
474.252,316.411,138.869
3510.52,2439.56,956.408
1068.82,723.835,282.584
2640.41,1835.74,749.279
1337.81,971.94,354.848
1191.52,856.734,353.133
1053.18,710.711,260.638
796.836,571.765,199.967
517.712,390.188,128.322
1160.11,814.975,362.169
1115.97,735.066,286.116
2435.66,1707.66,626.273
605.697,428.439,132.958
1737.11,1287.32,493.671
2756.41,1848.26,765.365
2628.2,1829.14,703.979
706.26,537.049,196.564
3485.08,2394.78,918.322
4040.11,2845.46,1101.42
1293.94,924.235,349.751
1387.49,1009.6,393.285
1693.51,1108.34,452.252
583.186,379.96,139.951
1825.81,1261.17,449.077
357.186,230.172,114.407
766.654,464.441,174.513
1514.25,1075.1,405.36
316.945,219.283,82.6895
1161.49,829.48,296.908
1355.18,989.976,359.969
600.943,394.076,192.371
467.705,371.285,127.092
871.602,579.904,234.06
3439.49,2385.38,968.623
510.105,358.103,137.263
1473.72,1127.13,429.741
1042.48,752.199,247.591
1304.42,949.649,365.885
759.367,591.895,202.098
1308.24,897.509,344.195
465.449,344.799,140.257
1214.69,833.09,288.733
1801.76,1222.74,518.093
1181.33,768.398,319.224
563.725,419.673,165.983
1790.43,1235.9,468.312
446.882,326.529,115.738
218.892,145.822,56.2711
4044.14,2811.07,1045.18
2282.16,1651.81,583.538
1131.11,815.11,367.33
936.56,639.499,259.77
1307.66,889.905,370.378
546.427,393.26,123.52
1085.49,702.095,281.57
1186.52,852.148,329.58
1029.95,736.865,249.522
1746.94,1251.61,504.661
561.322,387.169,162.193
1043.92,777.081,301.059
733.537,504.444,222.883
1264.13,864.426,344.64
1614.86,1171.13,446.572
377.668,246.616,107.49
229.863,156.341,62.5831
634.295,414.887,160.618
1419.82,1033.78,413.804
1136.64,768.443,297.788
855.82,560.894,252.871
1456.87,981.474,385.902
343.645,233.206,70.116
1301.07,912.107,371.844
571.96,419.009,149.412
1235.26,841.104,380.974
973.406,670.863,277.036
1456.2,992.589,361.925
1493.54,1015.33,380.656
226.031,168.544,68.1166
572.75,414.344,146.113
1297.37,894.056,355.896
1713.14,1187.69,414.603
1590.75,1059.98,478.397
902.907,629.812,236.776
2051.5,1548.6,604.635
516.091,313.222,133.642
934.452,615.649,253.697
2449.51,1671.79,686.698
176.518,100.054,34.4276
1430.72,1037.27,353.975
719.135,483.016,186.269
1196.81,870.768,358.558
1269.08,917.106,355.919
439.173,299.884,140.629
936.651,677.095,230.781
807.864,534.368,211.344
3716.05,2530.7,1063.27
1388.03,936.876,375.578
840.273,633.732,218.75
4666.2,3294.68,1205.63
311.997,212.754,82.6623
1393.15,931.156,354.117
1642.89,1081.39,439.053
336.096,251.298,96.7891
2223.87,1623.9,584.554
2451.55,1589.48,683.832
735.439,518.808,189.237
766.612,550.582,204.878
1036.63,672.696,268.9
991.219,703.658,271.517
7836.02,5465.89,2192.27
615.313,403.532,143.1
2185.36,1561.66,659.652
3977.07,2717.75,1092.85
715.2,512.626,195.434
3170.34,2137.37,868.19
3427.75,2498.07,955.834
2714.64,1862.37,705.865
1392.02,957.945,386.298
528.032,337.795,134.848
178.449,118.279,47.0024
1003.38,690.935,259.767
3077.5,2119.22,799.953
424.217,294.378,107.14
7554.42,5326.9,2076.97
1903.75,1305.3,520.305
430.5,288.053,117.653
2938.74,2013.31,811.181
1754.53,1207.05,482.692
502.982,348.197,136.919
1248.14,930.394,328.752
435.895,330.216,119.78
1276.68,801.237,298.486
1515.67,999.893,376.913
1594.87,1110.59,463.26
1452,1048.06,360.343
863.101,615.9,213.434
524.603,354.734,126.272
1626.06,1166.98,461.352
594.336,462.139,159.537
1294.89,928.184,355.401
888.437,544.901,263.299
1053.41,737.903,275.521
1605.16,1127.03,445.894
839.714,589.52,251.298
842.176,566.93,223.798
1867.32,1173.43,418.064
777.771,530.117,196.713
1283.86,910.765,373.449
812.745,496.338,184.824
957.223,674.029,262.207
3621.76,2506.45,1004.76
1869.78,1299.38,479.974
1048.18,721.341,289.088
372.359,257.706,94.8401
1606.49,1108.3,450.032
4260.62,2771.49,1077.71
718.688,489.084,187.432
1133.84,792.303,338.339
4168.63,2904.8,1132.83
2137.22,1437.68,539.65
481.764,339.512,144.245
2678.51,1876.27,633.265
1762.25,1207.08,475.403
447.855,320.657,108.618
568.118,396.933,148.733
1443.75,986.624,356.63
2400.98,1670.92,649.589
1989.26,1320.58,503.842
1027.01,736.088,283.243
1784.2,1134.35,466.227
890.288,617.377,229.663
900.479,622.282,230.798
957.942,634.496,237.878
1517.64,1149.92,405.993
835.925,574.756,216.405
3504.84,2483.66,1000.69
3004.39,2077.96,846.279
1540.65,1040.78,381.512
1950.2,1333.72,548.973
1341.37,904.23,371.441
1074.99,755.684,249.768
2514.8,1724.98,624.558
1390.47,916.327,383.564
1263.88,843.172,323.992
986.763,698.853,287.136
1404.53,944.88,353.971
854.189,614.35,219.723
792.149,498.822,216.268
2028.71,1393.21,556.632
416.147,250.802,100.656
913.479,712.715,256.343
1165.77,785.357,289.706
1629.11,1207.5,430.383
1421.52,1066.72,415.239
1375.3,989.235,353.712
1862.38,1259.51,497.8
2051.46,1407.85,529.556
1260.12,894.909,349.465
792.772,489.97,201.934
895.559,613.514,206.913
246.527,192.691,64.1553
591.176,447.303,146.093
823.259,584.143,228.49
1118.28,773.13,314.971
1216.42,855.732,294.901
740.291,497.463,219.841
915.354,622.38,237.4
1588.1,1045.98,388.241
2914.62,2021.73,794.955
603.493,443.759,162.402
1855,1346.33,494.841
1590.5,1122.94,433.3
723.028,470.035,177.557
1434.49,951.233,373.64
1218.4,809.776,311.632
572.092,342.742,156.355
1110.43,846.598,308.026
2075.74,1419.45,537.187
429.278,284.904,107.439
1537.24,1102.59,425.947
1739.36,1168.15,438.823
1195.09,797.209,293.446
2648.87,1848.09,658.098
824.139,587.73,235.82
1529.89,945.319,374.361
1509.39,1018.98,400.775
2529.74,1813.11,681.76
1300.97,832.144,335.572
1074.93,784.976,286.757
501.863,388.695,128.993
819.062,561.725,212.383
1266.68,892.663,348.092
664.747,434.428,152.293
688.625,477.445,159.937
1270,839.336,285.638
785.313,594.526,242.284
1055.91,749.327,303.126
406.502,272.958,112.554
4327.73,2932.15,1147.09
2251.72,1578.73,580.794
1003.97,713.438,235.899
1307.89,919.942,369.839
825.216,597.63,209.679
2882.1,2103.3,801.385
358.041,252.738,95.4114
1329.16,958.258,348.223
529.894,401.493,137.817
2649.15,1889.51,695.41
2426.91,1733.67,601.524
617.062,390.915,149.689
3380.01,2421.74,936.239
1382.16,920.318,357.215
2572.8,1761.05,695.917
1166.74,809.861,311.98
5646.88,3978.17,1535.61
4107.52,2841.86,1025.02
1006.21,695.005,281.641
3336.45,2507.9,925.045
1984.35,1282.28,534.831
1500.9,1022.16,412.62
354.813,251.271,104.045
4161.4,2886.81,1082.01
718.465,504.904,187.151
1245.34,816.986,332.444
659.256,510.889,197.755
874.999,603.496,237.381
677.701,481.744,188.102
1680.07,1114.41,463.47
1221.97,852.278,339.512
841.307,565.753,212.667
442.803,332.771,124.408
648.158,485.934,173.16
1323.95,916.564,393.514
685.742,434.024,163.446
1335.03,922.468,335.672
928.616,632.344,230.417
988.35,659.499,235.684
774.831,551.337,195.109
1693.06,1109.81,480.941
865.054,580.915,223.778
391.751,269.42,116.898
912.325,659.009,286.563
745.742,513.888,150.762
16671.2,12067,5157.54
1009.59,746.869,247.226
3040.39,2103.36,813.317
2101.71,1391,562.781
1095.63,772.853,277.905
196.314,150.881,48.009
405.941,313.535,108.592
1854.69,1244.68,474.443
729.993,495.676,226.966
2373.91,1592.7,627.789
1205.52,855.274,310.755
880.33,579.08,229.892
2840.55,2017.81,809.231
983.698,684.22,258.85
1135.3,835.779,320.274
956.899,679.103,255.531
1431.05,1053.6,419.075
487.416,289.1,118.765
314.414,235.328,92.6969
4330.19,2924.85,1068.61
2282.36,1610.34,573.76
944.995,633.312,254.649
1030.09,668.554,254.52
1294.86,905.535,323.398
762.988,579.333,226.935
223.463,143.539,48.2427
460.012,318.847,120.264
2503.36,1616.06,568.053
397.333,260.49,107.747
1924.02,1356.7,504.021
446.594,302.722,119.824
534.618,348.729,155.283
1273.73,925.408,345.826
978.037,679.314,247.753
810.194,516.076,193.947
1495.51,1061.4,393.151
267.781,179.914,66.4894
951.785,622.455,234.41
390.89,283.235,110.484
360.972,249.61,106.149
1427.52,999.721,417.276
1518.13,1098.47,441.183
1388.67,913.5,339.228
822.074,507.521,196.558
1948.27,1378.58,502.982
1561.6,1096.58,386.487
1094.49,799.779,299.68
2096.71,1409.38,586.964
4801.14,3327.39,1316.21
700.99,517.583,171.428
647.204,445.746,188.712
850.714,596.37,203.343
1613.9,1218.59,455.478
1079.24,694.808,280.69
520.857,421.453,157.024
1582.77,1107.08,427.103
434.731,308.086,112.925
2351.72,1655.29,588.026
2245.14,1444.55,543.639
1745.32,1243.3,499.286
1220.6,858.718,270.948
4513.67,3190.31,1193.26
757.448,503.904,220.117
4020.39,2788.68,1134.17
2234.32,1673.96,621.078
2323.89,1561.79,595.381
268.155,180.518,62.9125
2536.14,1718.43,650.487
1136.53,824.789,328.407
2420.73,1619.08,622.457
1725.57,1205.47,476.804
1520.58,1141.12,387.029
870.766,654.06,240.448
712.093,473.068,178.436
755.076,518.421,194.298
753.465,562.245,184.363
1777.85,1224.2,436.057
525.75,337.729,159.751
1859.46,1272.15,505.368
2763.57,1923.17,776.127
1406.47,955.103,355.507
784.021,524.843,186.707
1157.81,823.053,271.711
1762.29,1189.21,491.84
666.827,449.267,167.037
2662.58,1848.69,712.88
227.697,168.059,68.01
1549.77,1091.58,422.437
1149,759.163,279.966
1984.46,1398.44,526.151
5494.99,4027.26,1524.56
2212.91,1535.75,603.555
1176.28,838.968,302.897
2526,1846.28,702.871
979.367,715.17,259.762
1898.2,1318.24,519.066
2906.96,1983.52,751.168
1164.95,821.284,305.08
1537.25,1082.13,412.031
567.25,360.466,166.444
925.089,663.553,259.308
1688.48,1125.29,442.814
751.382,515.32,213.51
985.405,754.593,266.647
1811.19,1179.37,463.586
947.899,677.949,275.941
460.025,329.793,103.885
441.864,312.643,123.056
710.35,454.41,170.282
1067.33,735.166,275.961
1072.51,773.58,289.947
3100.53,2132.63,755.09
1322.68,927.442,353.893
1371.19,1039.15,392.715
1233.59,895.775,298.825
844.755,610.189,214.684
807.396,554.867,209.909
1572.32,1033.45,398.393
3855.64,2703.6,1086.26
531.736,399.694,165.275
744.991,467.092,147.248
2134.66,1441.98,544.773
2910.41,2068.13,748.48
2503.54,1802.72,694.844
766.128,543.854,209.989
433.034,289.147,126.068
2418.21,1593.79,604.736
581.863,417.623,153.127
1363.34,1015.72,337.649
3136.35,2177.47,790.134
1574.04,1048.16,415.151
896.127,668.607,246.49
707.84,499.969,199.276
1535.76,1042.66,378.941
2328.04,1636.67,657.706
903.875,623.193,241.728
905.949,602.532,246.574
371.348,277.45,98.9331
657.639,473.566,160.28
982.258,657.651,239.427
827.151,548.608,182.491
6051.29,4195.9,1609.41
1116.53,770.092,317.646
430.635,279.233,123.404
735.656,515.234,210.256
1544.04,1069.86,427.747
2167.63,1587.24,590.384
2051.44,1394.07,554.823
1126.95,789.76,305.638
2434.76,1736.29,622.329
