Est,Obs
164.787,166.666
41.3072,40.0258
44.622,44.6934
1779.92,1775.51
0.152869,0.195352
211.189,212.136
7838.69,8080.5
31480.2,31243.6
526.875,548.992
263196,276325
2.63351,0.195457
6801.35,6768.28
-6188.55,-6208.4
-874.775,-913.263
9984.8,10227.9
-7.71254,-4.85545
-1110.93,-1159.8
2115.43,2210.42
-20642.7,-19383.3
45.6497,29.713
2752.13,3029.48
-1383.55,-1123.25
2.58952,2.02158
1445.83,1452.98
-88.8211,-59.845
-6954.03,-6354.5
13.5277,9.57283
