k1,k3,k4,k5,k6,cost
0.222403,0.979821,0.729663,0.5319,0.194192,5446.13
0.07414,0.947628,0.39498,0.819654,0.147226,449.437
0.126417,0.95797,0.273439,0.568044,0.148601,2508.25
0.231263,0.96419,0.571454,0.612138,0.17943,5756.78
0.201925,0.962473,0.499326,0.508924,0.177835,4995.44
0.0748816,0.961527,0.492317,0.660463,0.169213,495.754
0.130415,0.963718,0.509685,0.789915,0.167361,2333.78
0.411142,0.934748,0.188153,0.523993,0.12489,8629.94
0.0731847,0.941287,0.299542,0.714322,0.137059,418.466
0.188617,0.975998,0.399298,0.290731,0.1881,4535
0.0759107,0.926239,0.13531,0.4062,0.112287,517.034
0.0747057,0.962559,0.58412,0.732018,0.17254,530.3
0.079264,0.986735,0.580693,0.0575826,0.209718,586.09
0.0766767,0.956168,0.458876,0.725589,0.161611,482.464
0.885506,0.949541,0.390019,0.662108,0.156387,10660.7
0.382197,0.964063,0.404274,0.428173,0.177242,8168.41
0.0753329,0.962881,0.577667,0.728859,0.172453,526.401
0.152993,0.964318,0.137734,0.183052,0.153583,3708.68
0.076178,0.966098,0.428205,0.454603,0.17539,478.014
0.189535,0.982669,0.496361,0.419326,0.191385,4502.04
0.0763761,0.953747,0.277831,0.427892,0.157278,409.324
0.174481,0.937447,0.228935,0.482948,0.143605,4564.36
0.0842818,0.976673,0.630834,0.338316,0.196174,664.233
0.0970119,0.970737,0.47889,0.33775,0.186955,1042.32
0.453892,0.974172,0.629306,0.434019,0.192113,8831.11
0.0773917,0.981925,0.844763,0.375258,0.201662,652.143
0.445493,0.981053,0.425231,0.0713735,0.203129,8669.81
0.292821,0.979445,0.465503,0.448979,0.183487,7056.63
0.082271,0.969921,0.420431,0.37289,0.181073,540.152
0.0740182,0.953642,0.301374,0.465881,0.157517,411.204
