Est,Obs
1.83372,1.40012
1765.66,1757.38
207.576,209.96
7.3982,14.0588
114.94,121.369
96.4018,90.9622
1.17475,0.728361
256299,273328
6479.29,6695.53
162.655,201.283
6718.72,6369.12
952.334,859.989
-321.475,-258.233
67.7746,53.35
7.10025,7.06668
-24.0609,-18.5846
23.4784,17.0746
-4682.56,-4524.28
-735.003,-958.283
4794.48,5467.64
-1245.84,-992.478
595.519,790.754
-2015.64,-1962.44
2346,2254.3
-503.688,-690.745
110.579,162.181
-420.007,-220.746
