Est,Obs
149.751,152.097
122.215,118.573
59.6588,59.2632
1684,1682.42
0.176574,0.223975
211.165,212.108
10637.7,10832.3
95365.9,96629.5
1516.84,1565.22
267874,273423
3.38511,0.436547
6791.93,6760.46
-17506.3,-17446.1
-2769.25,-2797.3
18604.2,18074.3
-10.3983,-8.50682
-1283.94,-1323.06
6815.36,7003.32
-59026.1,-55389.7
64.8102,59.0941
4823.39,5177.31
-2482.88,-1659.97
2.97069,2.69781
1621.15,1619.22
-114.095,-89.8344
-9189.79,-8664.61
17.8601,13.3624
