k1,k3,k4,k5,k6,cost
0.0791907,0.989106,0.508691,0.699309,0.231535,173.046
0.0738233,0.950052,0.289573,0.926649,0.172839,40.0397
0.0788862,0.976687,0.193799,0.452379,0.216551,70.7056
0.0710474,0.938296,0.180104,0.321873,0.155257,27.9739
0.076983,0.971376,0.250114,0.4835,0.208268,38.5975
0.0759237,0.955583,0.333288,0.714377,0.184151,66.1232
0.0799703,0.992013,0.429313,0.491905,0.237753,160.762
0.0677754,0.927332,0.557056,0.350507,0.138812,476.54
0.0761442,0.968314,0.192366,0.244917,0.203685,18.2833
0.0740121,0.95374,0.231979,0.489351,0.180771,22.0794
0.077624,0.987013,0.708901,0.449442,0.225923,331.929
0.07604,0.971187,0.282875,0.407609,0.206291,54.72
0.0759145,0.967079,0.25673,0.593524,0.201022,36.9203
0.075387,0.965351,0.188027,0.211565,0.200364,14.0515
0.0739609,0.950186,0.268832,0.811649,0.17412,34.6187
0.103632,0.985006,0.442406,0.486024,0.216056,722.725
0.0740418,0.952218,0.226753,0.497828,0.178399,21.2686
0.0722765,0.941995,0.184312,0.408567,0.161626,26.2488
0.0730648,0.961911,0.451365,0.796355,0.185833,148.478
0.0754553,0.968983,0.342483,0.548628,0.202299,80.4893
0.0723889,0.943847,0.206156,0.434436,0.16374,23.086
0.0744717,0.953412,0.250536,0.667449,0.178805,28.7122
0.0747006,0.959013,0.266543,0.736371,0.190367,37.1888
0.070176,0.91934,0.193955,0.507994,0.121399,77.1305
0.0723585,0.938238,0.252728,0.825723,0.154528,41.9561
0.0733811,0.956436,0.513857,0.636387,0.183181,219.041
0.0749084,0.9595,0.199859,0.344022,0.190188,15.2573
0.0712258,0.954864,0.397712,0.645839,0.179429,136.269
0.0757199,0.964368,0.264632,0.638847,0.197688,36.4176
0.0741428,0.954917,0.195024,0.316558,0.18289,13.2366
