Estimated,Observed
100.634,98.8077
1.32388,1.30584
0.705604,0.709682
1.48363,1.52043
0.752996,0.768075
17805.5,15970
4.36191,3.63435
1.31943,1.15998
6.57177,6.00986
1.82944,1.67083
-46.5127,-45.1983
43.9738,43.689
114.279,117.611
65.5696,67.7314
1.19358,1.08276
2.37569,2.15698
1.16248,1.03877
2.93105,2.62375
1.53481,1.36907
3.46108,3.16085
