pCD3z(),pSLP76(),pErk(),pS6()
4.44481,15.1988,3.9562,11.0799
21.71,27.0546,8.41347,6.68201
11.069,7.2603,11.8418,18.7244
22.679,9.5026,7.68917,1.83905
5.38734,16.885,24.1732,25.6892
19.9042,17.3836,4.34742,43.3639
11.4125,20.8018,4.80459,2.36688
7.87141,8.40212,23.9133,65.7082
9.50104,8.1372,5.75475,19.1628
5.59875,36.6572,9.61122,12.1971
1.31769,1.67264,1.15619,1.09019
9.36891,15.0842,8.30718,10.8942
34.7382,3.73316,1.28872,2.46508
15.4205,2.63636,0.686108,6.68954
4.22459,11.6119,3.34266,8.41204
4.36553,14.0498,3.29157,12.9727
18.2834,2.59687,0.571251,7.07313
12.2758,6.1371,6.03145,31.0146
8.13568,27.1795,6.6149,63.2357
0.701077,6.62987,3.63324,13.9336
23.7536,26.6473,6.62964,23.8652
10.1969,19.1373,7.47835,21.9231
5.61637,4.43616,2.70427,1.4353
2.92089,2.15311,4.86957,23.5304
23.0666,18.49,6.67719,14.7609
3.40537,7.77221,8.89103,14.368
3.41418,10.0561,3.85578,5.19913
5.82778,6.54217,2.12349,2.79076
12.5665,2.2358,1.76086,8.03317
1.81098,1.9864,2.9266,9.56841
3.15872,6.02506,2.50323,27.8253
12.8748,24.8354,6.20416,6.77995
11.0073,7.97094,7.44322,1.59751
5.01738,4.41954,2.70695,12.6372
1.26484,12.6028,3.04141,10.4682
13.4738,13.8068,5.09439,9.57793
33.3816,6.65309,1.35888,18.6548
1.84622,4.94981,1.69025,11.8803
15.6143,17.5416,9.74237,3.22597
13.8966,7.89457,3.90614,107.21
27.101,10.6401,2.91435,22.1448
11.6504,7.39335,1.89348,13.9175
13.7997,37.8645,9.84812,5.24535
15.9931,26.8116,13.4569,12.1686
7.82737,21.0179,5.48116,26.6944
7.70405,8.07948,2.3218,50.9666
6.18894,9.96115,2.8171,9.19767
10.7871,1.67587,4.19215,6.88131
7.7569,5.01409,8.14025,1.38059
3.47584,3.10245,5.62918,6.87559
9.68602,9.8471,4.94392,12.546
6.52368,7.32361,1.67028,20.29
12.0468,5.11586,6.51176,7.63118
40.966,21.7059,16.2171,160.151
0.850826,2.33754,1.39956,2.10732
11.5799,13.4881,3.11798,1.23326
13.835,17.1313,16.2625,19.6165
23.1899,7.97579,3.85134,11.0878
4.06603,4.07084,1.16188,7.34369
8.80514,7.22979,8.57181,31.8537
24.2822,18.1785,4.41607,5.76236
27.0745,31.4529,7.36732,7.32909
4.53289,7.13755,8.26707,27.5092
17.9046,2.85277,2.08467,26.666
20.0716,37.3012,9.72638,2.01161
10.5757,22.0147,13.3516,16.7512
2.28666,21.059,8.01598,8.25756
28.4751,5.74582,7.66799,22.749
2.65662,9.22166,9.37661,2.15514
10.9545,3.93523,6.12973,19.7861
5.81897,5.15576,2.8089,6.82603
40.226,11.3865,20.7946,65.1964
4.21578,11.2489,2.85772,5.64186
5.44901,11.7736,2.58771,8.31569
18.6445,9.81837,38.1454,34.9792
13.0862,20.3048,5.15987,2.06984
5.90706,4.07757,1.27916,1.41144
16.2221,20.9049,8.27489,3.22131
9.48342,11.3712,5.82882,38.7227
40.8427,9.01148,2.76809,25.2495
12.7251,16.9882,7.15048,3.55285
2.28666,3.09366,35.8069,102.328
17.517,7.03628,5.42936,1.92577
7.99474,22.238,16.0894,12.3552
22.3266,11.9574,4.70632,5.25729
7.42217,7.89569,2.70706,11.3359
15.4734,13.1513,12.9576,25.9144
0.956531,14.7468,5.35592,9.5462
16.3895,10.2374,3.09962,5.63378
8.3559,4.1411,1.23346,14.5025
9.457,7.76307,2.2848,6.94865
12.9893,22.6339,8.21402,7.99473
1.87264,5.44825,2.30607,1.93978
14.7687,7.11794,1.40321,8.32689
13.5443,4.43705,3.06878,7.35786
12.0556,7.80911,5.06453,6.35691
8.66421,6.16956,4.14998,5.03888
12.3022,20.696,6.24241,3.84013
9.2544,10.4523,2.71483,58.4936
11.1395,22.0596,6.53612,2.9859
9.43938,7.56461,3.07813,8.85091
10.0208,7.46936,2.02869,12.9633
1.67004,9.94821,3.1323,0.695896
0.577755,2.86311,1.74559,5.61213
23.9474,8.19617,2.44659,14.3636
8.78753,6.33854,2.76602,55.8957
15.121,5.83613,1.86264,10.0999
25.1718,44.753,11.9961,15.0575
27.5678,26.5629,5.99636,3.51909
8.3559,10.3841,5.54865,63.9387
9.83577,5.81457,1.8629,5.61482
6.10966,5.02548,1.92385,1.32759
39.953,12.6206,3.14467,21.0547
1.44982,12.0611,5.63346,10.9944
16.8828,6.04802,2.27915,2.47845
20.6001,16.6298,5.64551,20.1387
12.0292,3.63414,0.85567,0.210985
13.7997,11.5069,3.42161,1.35216
13.2536,9.79475,3.61042,5.59001
1.28246,14.7222,5.24569,10.5803
3.79296,1.49459,2.86568,4.39559
12.9629,20.9939,29.9021,9.9678
7.76571,15.3832,7.16418,0.866109
7.98593,11.1447,2.35577,13.5044
20.97,10.4136,3.03923,54.3879
32.2805,7.17999,4.27434,8.85559
7.21076,7.77358,2.54738,12.4417
1.00938,0.651876,1.38394,32.0623
18.9969,11.5124,4.4835,27.8269
14.4075,20.137,5.74299,12.4002
3.29967,2.87343,2.8515,42.7199
6.47963,4.76876,2.2694,2.65792
11.1483,15.5418,5.43095,12.8169
18.2041,14.8708,3.51129,15.7417
2.20738,13.3837,3.25305,13.2491
35.1346,6.17136,3.18699,3.77055
11.7825,34.8103,9.21799,39.1743
31.0561,10.3799,2.84108,5.32819
31.5494,21.3139,13.3237,24.4128
43.3179,19.9496,8.47324,5.29474
2.48045,1.52151,2.86007,12.9989
1.57315,0.893501,2.03929,11.4364
5.90706,6.90385,2.48064,14.75
37.9005,15.7589,4.01356,3.97009
11.4214,2.45943,1.01909,3.39558
6.53248,12.2763,24.1837,17.4255
6.51487,7.6062,1.93502,12.5852
4.6386,1.04616,5.69932,2.88583
2.10167,8.90999,4.75117,6.57761
17.5963,17.6009,4.22493,9.30808
42.2609,21.5198,7.9914,20.9572
8.82277,23.3703,6.23892,5.50446
14.9096,12.1775,2.50881,17.3257
23.0577,15.718,4.80321,12.8329
1.44982,28.4126,6.57492,19.1675
14.9184,12.5404,3.87257,5.59435
33.3552,46.5964,10.995,57.6544
0.560137,4.83749,1.77219,3.04535
32.9236,13.1367,3.23027,10.1842
3.66082,15.9836,8.87677,23.69
5.88063,7.23202,3.16117,9.93661
13.0246,3.95548,5.25044,1.52962
14.0376,33.8008,13.0378,27.4775
18.0015,17.2372,8.18032,7.79065
12.7955,14.4125,7.53259,15.5453
19.7809,3.26429,23.4494,22.237
9.63317,18.6201,7.44719,6.49546
6.21537,5.38176,7.1384,2.73952
25.6563,13.5439,4.40152,21.2306
8.88443,37.4917,16.0293,19.2293
28.9596,8.93228,4.96314,10.5327
28.0611,14.5481,6.38735,5.26633
9.72126,8.03968,9.88016,15.8481
22.952,15.1885,5.79547,3.52038
8.10925,10.3217,2.17441,12.4505
23.4189,15.736,4.37239,6.92398
14.8215,3.3519,3.09674,17.8337
24.3262,39.5017,14.9966,3.60762
6.21537,57.7111,12.5892,17.9347
6.41797,7.10117,3.32968,28.3615
16.3366,1.61193,1.10296,17.427
2.19857,10.4936,6.64305,21.1105
15.8346,4.79278,2.33663,7.554
8.72587,5.78957,4.98725,1.71956
2.56854,3.41918,2.54764,1.98124
13.2272,8.29648,2.10828,18.0681
18.1248,6.45539,2.00873,0.457704
1.72289,17.4321,10.3887,22.3855
14.6806,29.8065,19.4918,6.75566
2.64782,11.3071,3.48693,14.7291
24.8019,5.34742,1.29033,1.17863
28.114,7.94789,3.73419,49.355
3.30847,9.28259,10.2957,2.39022
25.6387,11.0309,2.3984,42.0416
1.16794,9.71234,3.09443,13.3734
14.2137,106.371,24.9692,13.0229
13.8173,7.87142,7.03693,2.53128
4.57694,3.36282,2.4043,4.95654
1.16794,0.879252,1.66863,1.31669
7.80976,11.6084,7.59684,11.8166
3.91628,7.21377,2.79759,19.7213
