pCD3z(),pSLP76(),pErk(),pS6()0.61,30.64,0.12,0.21
11.28,77.4,6.98,0.32
17.12,78.82,1.49,-0
1.69,43.5,1.66,1.11
0.96,20.08,0.62,0.05
29.39,187.51,4.43,1.66
11.19,38.03,0.67,-0
6.89,34.35,0.79,0.62
4.27,87.38,0.73,0.17
3.58,43.93,3.68,0.55
8.73,111.9,3.36,0.23
13.75,61.87,1.83,0.9
6.51,40.54,0.51,0.38
2.54,41.9,0.85,0.27
7.45,22.89,1.68,2.3
21.2,55.73,7.08,0.69
12.71,90.69,4.64,1.36
3.83,38.59,5.53,0.64
4.65,97.58,4.86,0.65
9.41,124.34,3.59,0.92
18.08,71.79,0.48,4.35
6.56,55.13,1.87,0.87
6.28,39.8,2.9,0.14
7.21,61.78,0.15,0.06
20.99,68.66,1.97,0.78
7.26,34.93,4.29,6.13
8.78,38.81,0.31,0.27
11.7,77.82,1.58,0.95
3.61,38.03,2.14,0.2
8.56,53.82,0.4,0.04
8.44,21.18,0.33,0.98
20.45,9.44,4.08,0.72
5.13,54.75,2.44,2.27
12.66,29.01,2.11,1.45
16.83,32.47,2.06,0.89
12.03,18.77,16.86,42.31
4.4,54.92,4.19,1.5
4.27,71.12,1.13,0.08
4.05,65.36,0.1,1.87
6.17,45.86,5.79,0.83
11.5,59.57,3.65,2.03
18.24,134.99,0.51,0.52
10.24,46.81,2.59,0.86
6.16,60.84,3.67,0.69
17.87,38.67,0.71,1.29
8.96,37.76,2.79,0.03
16.13,36.88,8.62,1.79
12.14,75.58,17.2,0.4
1.11,48.04,191.21,0.51
22.52,41.85,2.58,0.55
14.77,39.37,5.67,0.42
11.63,75.47,1.91,0.05
16.34,68.71,2.82,7.24
2.93,27.12,2.9,1.97
1.97,69.48,0.01,0.42
4.25,79.15,0.27,3.11
10.5,64.69,6.51,184.88
14.42,49.62,1.25,2.8
28.57,40.72,5.98,0.32
0.44,14.53,0.98,0.4
9.91,24.24,14.77,0.15
2.07,2.34,1.65,2.71
16.88,40.29,1.57,0.72
6,82.89,10.11,2.59
9.4,83.17,3.82,3.45
10.4,80.12,6.01,0.86
15.19,5.37,3.43,0.89
4.68,95.25,4.8,0.08
12.7,71.6,2,6.47
3.43,41.34,0.32,0.18
3.31,84.63,0.08,0.36
7.3,32.75,3.05,0.88
7.83,110.85,3.66,0.71
25,74.99,1.02,3.46
8.22,79.77,3.13,1.27
3.44,81.26,7.25,0.35
5.01,74.75,2.92,0.31
5.79,73.56,2.56,0.49
5.31,24.38,1.19,0.94
5.86,84.91,0.47,0.16
3.17,117.68,6,0.98
19.77,51.51,7.3,0.89
4.55,53.19,0.36,0.28
5.76,41.7,9.3,0.66
4.91,40.76,4.11,10.3
7.19,33.62,3.28,0.67
15.14,76.96,0.31,0.96
15.49,50.05,1.65,0.71
2.52,38.3,0.27,1.02
7.69,38.14,0.59,0.07
32.75,33.36,0.7,0.42
21.8,54.56,1.28,1.3
6.48,56.58,7.38,0.22
10.85,54.46,4.83,1.89
6.49,81.37,8.69,0.5
5.12,36.57,1.05,0.72
22,50.82,2.68,1.8
0.47,44.18,0.64,0.07
18.42,66.78,0.85,0.67
11.53,47.94,10.86,0.69
19.3,40.43,0.82,0.5
4.39,97.44,1.48,0.15
9.37,99.57,4.43,1.14
26.04,26.18,1.47,0.69
5.85,13.72,1.26,0.89
10.9,18.07,23.11,11.01
20.93,120.28,2.2,0.48
3.25,95.01,4.81,0.15
5.95,33.13,4.97,0.23
10.84,36.3,0.01,0.48
4.03,43.03,1.54,0.03
17.39,94.41,2.73,0.39
24.16,51.83,3.52,1.27
15.12,35.03,0.77,0.88
8.63,57.1,2.75,0.43
5.07,73.56,0.64,1.65
7.85,24.14,5.66,0.22
7.9,75.53,2.69,0.47
18.01,80.24,0.05,0.16
12.67,89.98,1.26,0.44
2.59,56.63,0.42,0.48
31.22,54.04,7.08,1.97
13.71,34.76,1.89,0.91
6.59,49.41,0.14,0.46
3.97,59.6,0.13,0.37
17.6,67.02,1.38,0.92
4.49,33.05,0.13,0.26
27.08,40.29,2.89,0.61
5.41,58.77,1.5,0.54
18.5,40.84,4.35,1.74
2.69,54.68,2.21,0.78
9.87,76.84,3.59,0.82
6.33,50.23,2.95,0.87
0.56,32.96,1.24,0.34
10.87,22.07,2.51,0.08
8.72,56.03,2.37,0.77
9.09,50.98,8.25,0.58
5.8,58.55,2.7,0.88
2.68,25.31,2.59,1.28
20.08,31.37,13.24,0.72
2.91,38.32,7.95,0.87
1.29,29.59,2.06,1.79
34.69,48.06,1.59,0.65
14.09,31.67,0.54,1.26
6.11,61.91,1.74,0.09
3.38,57.94,0.52,1.38
