Syk(),Vav(),SykVav(),pVav(),SHP1(),SHP1PVav()
335,1,45,1334,0,215
135,2,43,964,1,180
8,196,152,2195,0,186
4,394,146,1777,0,247
177,1,32,2213,0,176
6,109,90,1371,0,100
120,3,26,1622,0,143
181,4,23,1797,1,168
5,185,92,1141,1,163
120,5,32,1343,0,168
5,111,106,1657,0,114
248,2,35,1130,1,150
214,1,28,1600,0,172
72,5,51,1484,0,180
168,2,38,1339,0,187
94,5,38,1600,0,155
265,0,28,2590,0,121
188,1,25,1216,0,111
180,2,28,1020,0,135
10,123,142,1582,0,324
112,2,23,1223,0,127
183,2,23,1819,0,172
237,1,58,655,0,308
314,0,37,1234,0,278
33,22,89,1790,0,120
142,5,70,1553,0,365
159,4,51,1480,0,212
187,7,54,1495,0,304
147,4,79,2164,0,379
173,0,37,2083,0,151
180,1,17,2084,0,83
82,0,51,1737,0,141
302,0,47,2128,1,206
150,2,34,1565,0,194
153,2,51,1528,0,263
110,8,45,1630,0,247
108,11,65,1300,1,369
96,2,37,1822,0,113
153,2,26,2126,0,126
1,1163,101,837,1,272
194,2,57,1241,0,284
107,7,61,1598,0,230
135,2,42,1507,0,228
170,2,27,1320,0,144
200,4,27,1265,0,179
152,3,38,1712,0,201
195,2,53,1903,0,230
89,1,57,1380,0,218
101,3,57,1595,0,236
2,1012,96,955,1,235
156,4,27,1793,0,169
39,28,122,1879,0,235
204,4,15,1958,1,133
171,3,59,1794,0,314
108,3,32,1826,0,159
233,1,15,1471,1,115
231,0,33,1641,0,139
230,2,45,2007,0,244
7,360,189,2158,0,370
1,739,91,1270,0,114
135,8,46,1708,0,258
223,3,46,1111,0,236
315,0,18,1945,0,106
131,3,30,1527,0,179
93,5,60,1522,0,227
142,2,53,2059,0,288
154,5,68,1507,0,450
85,3,25,1121,0,186
149,2,29,1676,0,155
2,710,82,1052,0,123
202,3,17,1891,1,94
158,9,44,2319,0,207
76,7,56,1071,0,284
188,4,28,2036,0,185
260,2,41,3099,0,212
3,276,168,2053,0,268
33,29,90,1335,0,211
154,4,34,2252,0,191
158,2,20,2120,0,85
3,682,126,1283,0,261
164,1,32,1580,0,150
137,3,37,1116,0,185
227,2,28,2337,0,129
193,5,76,1577,0,405
109,4,26,1285,0,134
3,646,110,749,2,323
249,1,55,2806,0,278
119,10,82,2022,1,312
78,7,60,781,1,296
110,2,55,1239,0,267
7,312,144,2062,0,180
182,0,28,1693,0,158
138,2,64,1740,0,254
133,3,78,1187,0,387
276,2,54,2049,0,301
116,3,26,1783,0,128
286,2,47,1593,1,216
99,10,85,1637,0,366
2,578,125,1392,1,250
165,4,52,2346,0,340
168,0,51,2672,0,256
0,2201,75,463,2,205
112,3,34,1746,0,181
166,2,48,2535,0,253
194,3,39,2747,2,179
14,127,89,1462,0,120
164,0,27,1766,0,188
448,2,57,1994,0,260
182,3,53,2744,0,262
0,922,99,890,0,246
143,2,39,1393,0,197
77,5,43,1470,0,142
223,4,23,1387,0,154
22,113,189,2832,0,288
226,2,38,1708,0,203
3,688,216,2270,0,425
186,0,21,2900,0,119
154,0,18,2446,1,109
237,0,35,2007,0,193
162,2,38,1651,0,184
17,82,136,1888,0,226
164,2,36,1165,0,229
7,195,179,2212,1,304
299,0,49,1199,0,250
188,3,52,1122,0,226
293,0,20,2192,0,100
182,3,24,1736,0,156
211,2,44,1959,0,182
229,1,13,1924,0,170
282,4,30,2255,0,137
296,0,18,2581,0,110
20,95,179,2916,0,196
461,1,38,1663,0,201
160,2,22,1330,0,99
202,0,27,2120,0,166
0,536,77,569,0,216
166,4,44,1742,0,243
2,1536,89,440,0,284
179,3,63,1410,1,346
85,2,47,1582,0,168
126,5,89,1418,0,433
142,6,42,1493,1,259
198,1,41,1986,0,214
278,0,23,2677,0,123
439,3,61,1706,1,310
221,2,41,3594,0,179
246,1,30,2099,0,175
208,1,34,2561,0,206
226,3,28,1946,0,184
128,2,27,1464,0,119
117,2,37,1149,0,181
298,2,18,2124,0,90
5,617,116,1008,1,322
335,2,38,1138,1,217
266,3,50,2705,0,229
154,1,41,2261,0,175
115,1,36,1275,0,149
105,13,41,886,1,260
143,1,38,2324,0,165
178,4,25,1454,0,164
213,2,47,1510,0,234
184,1,14,1543,0,93
193,3,48,2278,0,264
224,0,30,2073,0,138
161,3,52,1994,0,278
167,2,22,2239,0,142
2,898,129,1680,0,203
94,5,32,1490,0,172
186,2,41,2750,1,245
207,3,58,1652,0,317
209,5,43,2051,0,220
140,1,38,2043,0,153
123,1,31,1510,0,155
2,754,95,1203,0,161
109,5,71,1630,0,295
20,78,128,1231,0,360
248,1,25,844,0,132
130,1,35,1707,0,181
136,3,39,2002,0,210
131,3,25,1825,0,134
3,588,127,1632,0,196
121,4,26,1661,0,180
311,1,51,1942,0,214
162,3,11,1584,0,146
209,0,33,1915,0,201
142,0,26,1142,0,129
233,3,23,1858,0,114
126,3,42,1892,0,197
140,4,37,2222,1,186
