pCD3z(),pSLP76(),pErk(),pS6()
4.96852,11.4591,6.33241,14.0359
19.361,22.4321,12.2322,12.4658
10.3039,7.01344,8.95288,25.0269
19.8953,10.3068,7.33628,6.15801
5.77219,13.0087,18.131,38.3867
17.7288,15.3571,7.96864,47.2109
10.7891,16.4479,8.30508,5.96664
7.69002,7.46261,16.4338,78.3885
9.02551,7.31864,5.78019,22.6811
6.24112,26.6932,14.9507,19.1065
2.19079,1.49707,1.13049,1.75648
9.02124,12.1804,8.83943,15.8957
29.7361,8.04743,2.68959,3.53567
13.8158,4.32175,1.58888,7.36268
4.73334,8.9119,5.04102,10.8243
4.88594,10.6369,5.69684,15.5778
16.1721,4.73056,1.60148,7.71307
11.28,6.34964,5.66035,34.7356
8.18723,20.4306,11.6395,68.9597
1.75781,4.89588,3.90919,16.2423
21.0372,22.4419,11.4309,29.0641
9.76365,15.1311,9.58202,26.9543
5.77145,4.10257,2.81243,3.02002
3.51833,2.12189,3.64367,26.3018
20.3491,16.6363,9.2442,19.3482
4.00195,6.16623,7.18121,19.2166
4.04287,7.70623,4.86317,7.70318
5.97702,5.60017,3.0512,4.2539
11.4602,3.61771,2.01702,9.18592
2.60183,1.81245,2.31307,11.2085
3.77194,4.83792,3.38619,29.7947
12.0536,19.5061,10.2017,11.3501
10.2633,7.44956,6.4785,5.63682
5.27806,4.00071,2.94147,14.3871
2.31147,9.14872,5.07034,12.8135
12.3812,11.8792,6.84155,13.0106
28.6631,9.88304,3.64678,20.17
2.67514,3.87504,2.41588,13.1586
14.2,14.8673,10.33,8.96584
12.6405,7.81048,5.99218,111.203
23.5524,11.7267,5.38651,24.6405
10.7834,7.08374,3.45283,15.5267
13.0109,28.7923,15.5275,12.2819
14.6513,21.4453,14.8632,20.3349
7.84081,16.0612,8.95481,30.9669
7.54484,6.96894,4.24378,53.3505
6.32573,8.05292,4.39771,11.2888
9.98719,2.98144,3.15003,9.10455
7.54301,4.89428,6.01691,5.54338
3.98953,2.87667,4.09838,9.8109
9.20335,8.53194,5.68486,15.6917
6.56162,6.24954,3.2518,21.8566
11.0761,5.60371,5.34886,11.1611
35.1349,21.7428,17.7584,171.667
1.81643,1.89316,1.43394,2.93965
10.8169,11.344,5.50633,3.58968
12.7297,14.3832,13.9889,28.6037
20.2926,9.27628,4.96901,13.6695
4.48942,3.59376,1.90365,8.26779
8.43933,6.61109,7.25204,36.8158
21.345,16.5782,7.83295,9.14979
23.8434,26.3139,12.9331,12.9328
4.92064,5.88965,6.8822,32.2332
15.8643,4.87059,2.75055,28.3186
18.166,29.3557,15.4516,8.94587
10.1193,17.2646,13.4942,24.6156
3.28015,15.2691,9.96193,13.4029
24.6109,8.5699,6.8114,27.1798
3.40732,7.06861,7.63402,7.12937
10.1591,4.60887,4.96871,23.2431
5.94905,4.63816,3.13027,8.5852
34.3714,14.4591,16.3794,76.7883
4.72058,8.65119,4.64434,7.76461
5.74372,9.2036,4.69909,10.3919
16.5822,10.2543,24.5389,53.974
12.1596,16.3604,8.41807,5.81043
6.00522,3.88053,1.94327,2.31224
14.7507,17.294,10.3923,8.48453
9.05954,9.57883,6.90192,42.765
34.8412,12.688,5.32151,27.7066
11.8127,14.01,8.68265,8.04018
3.01399,3.0364,21.9725,120.744
15.6083,7.76912,5.31866,5.01424
7.99814,17.0561,14.9295,21.4267
19.6417,11.9354,6.35039,8.3849
7.31003,6.79718,3.87544,13.2905
14.0185,11.8164,11.2849,33.2266
2.09008,10.6255,6.87062,13.083
14.7278,9.80804,4.86457,7.87985
8.02225,4.30026,2.17721,15.5971
8.98322,7.01036,3.60812,8.64462
12.1151,18.0079,10.7702,13.3867
2.70444,4.23311,2.75091,3.38569
13.3464,7.36188,3.12637,9.62547
12.2984,5.31984,3.31631,9.24826
11.1236,7.47072,5.21833,9.35656
8.30685,5.79628,4.18409,7.47374
11.5201,16.5262,9.11588,8.13041
8.85685,8.86924,5.20715,61.3263
10.5833,17.3044,9.58008,7.47563
8.96583,6.87806,4.01995,10.9328
9.44292,6.88914,3.48802,14.6161
2.60525,7.35564,4.32768,2.77852
1.59954,2.22292,1.79714,6.68844
20.9194,9.53077,4.3152,16.3583
8.41078,5.92358,4.14246,58.4619
13.6174,6.5254,3.08754,11.5637
22.477,35.3693,18.9139,23.7253
24.176,22.9566,10.8978,8.13462
8.11645,8.71647,6.79953,68.1634
9.26578,5.70185,2.87332,6.97882
6.18631,4.58105,2.54428,2.58579
34.1629,15.0777,6.36536,23.8369
2.45594,8.82749,6.37439,14.5229
15.071,6.94652,3.31968,4.04483
18.2905,14.9486,8.2043,24.1995
11.0387,4.50169,1.75409,0.905896
12.6148,10.3023,5.23468,3.74519
12.1395,9.02504,4.94461,8.02803
2.35803,10.657,6.82647,14.0818
4.22616,1.7705,2.14185,5.9115
12.0713,17.1001,22.3396,25.3896
7.7057,12.1302,8.10665,5.19313
7.82286,9.14996,4.55196,15.5276
18.5016,10.6362,5.65266,57.3768
27.7649,10.1143,5.22731,11.6063
7.13413,6.67789,3.76505,14.33
1.9217,0.742751,1.39922,33.2369
16.8938,11.1155,6.31998,31.1436
13.2449,16.4528,8.87151,16.5653
3.84075,2.6628,2.97922,44.8859
6.48709,4.46223,2.69772,4.08372
10.4927,12.7402,7.44532,16.5462
16.2913,13.3288,6.45432,18.6222
3.09918,9.84113,5.44903,15.7874
30.0993,9.83309,4.38449,5.89438
11.3044,26.3466,14.7974,46.2313
26.8047,12.1468,5.1685,7.54454
27.3761,19.9816,13.995,32.4611
37.0438,20.771,11.052,10.7839
3.14601,1.58959,2.22271,14.6355
2.38952,1.00273,1.56413,12.624
6.04777,5.87037,3.50109,16.5816
32.5204,16.9646,7.35715,7.07739
10.5207,3.59011,1.57085,4.13992
6.64582,9.96258,16.8883,29.7319
6.55863,6.44773,3.36706,14.1762
4.91596,1.61786,3.59445,5.67646
2.94522,6.71489,5.04696,9.44236
15.832,15.1508,7.43898,12.5854
36.197,21.7031,11.3634,26.5461
8.69566,17.8632,9.71717,9.95922
13.5385,10.9322,5.14512,19.5809
20.3001,14.6769,7.48057,16.351
2.70135,20.2648,11.1568,24.2452
13.5514,11.2011,5.83388,8.33025
29.2417,37.902,19.627,66.6562
1.61466,3.59986,2.2789,4.21462
28.3835,14.3635,6.20079,12.8324
4.33545,11.944,9.39069,29.1698
6.03101,6.1027,3.8951,12.0324
11.8635,4.92758,4.30503,4.31614
13.1462,26.0272,16.556,36.0896
16.1606,15.0027,9.51919,12.8675
11.8321,12.2267,8.40014,20.2358
17.4177,5.68284,14.6319,33.8075
9.29174,14.6814,9.21268,11.2455
6.2793,4.90451,5.53231,6.46934
22.4068,13.5515,6.89157,24.572
8.95943,27.851,18.8884,29.303
25.0572,10.839,5.98083,13.7157
24.4019,14.6411,8.09785,9.36724
9.20582,7.32981,7.99275,21.2331
20.2052,14.3008,7.76661,7.32795
7.91202,8.59161,4.23228,14.3244
20.5976,14.7392,7.17932,10.1558
13.3337,4.75834,3.23116,19.8366
21.7024,31.6027,19.0585,13.1781
